 TITLE = "DIFFUSION 2D - FD"
 VARIABLES = "X" "Y" "C" "ERR"
  ZONE F=POINT, I=         101 , J=          101
   -4.00000000   -4.00000000    0.01967727    0.00000000
   -3.92000000   -4.00000000    0.02110668    0.00000000
   -3.84000000   -4.00000000    0.02259706    0.00000000
   -3.76000000   -4.00000000    0.02414687    0.00000000
   -3.68000000   -4.00000000    0.02575412    0.00000000
   -3.60000000   -4.00000000    0.02741633    0.00000000
   -3.52000000   -4.00000000    0.02913057    0.00000000
   -3.44000000   -4.00000000    0.03089338    0.00000000
   -3.36000000   -4.00000000    0.03270083    0.00000000
   -3.28000000   -4.00000000    0.03454849    0.00000000
   -3.20000000   -4.00000000    0.03643143    0.00000000
   -3.12000000   -4.00000000    0.03834425    0.00000000
   -3.04000000   -4.00000000    0.04028108    0.00000000
   -2.96000000   -4.00000000    0.04223562    0.00000000
   -2.88000000   -4.00000000    0.04420115    0.00000000
   -2.80000000   -4.00000000    0.04617056    0.00000000
   -2.72000000   -4.00000000    0.04813640    0.00000000
   -2.64000000   -4.00000000    0.05009092    0.00000000
   -2.56000000   -4.00000000    0.05202609    0.00000000
   -2.48000000   -4.00000000    0.05393372    0.00000000
   -2.40000000   -4.00000000    0.05580542    0.00000000
   -2.32000000   -4.00000000    0.05763274    0.00000000
   -2.24000000   -4.00000000    0.05940720    0.00000000
   -2.16000000   -4.00000000    0.06112034    0.00000000
   -2.08000000   -4.00000000    0.06276381    0.00000000
   -2.00000000   -4.00000000    0.06432944    0.00000000
   -1.92000000   -4.00000000    0.06580928    0.00000000
   -1.84000000   -4.00000000    0.06719568    0.00000000
   -1.76000000   -4.00000000    0.06848137    0.00000000
   -1.68000000   -4.00000000    0.06965952    0.00000000
   -1.60000000   -4.00000000    0.07072377    0.00000000
   -1.52000000   -4.00000000    0.07166831    0.00000000
   -1.44000000   -4.00000000    0.07248795    0.00000000
   -1.36000000   -4.00000000    0.07317814    0.00000000
   -1.28000000   -4.00000000    0.07373503    0.00000000
   -1.20000000   -4.00000000    0.07415547    0.00000000
   -1.12000000   -4.00000000    0.07443709    0.00000000
   -1.04000000   -4.00000000    0.07457831    0.00000000
   -0.96000000   -4.00000000    0.07457831    0.00000000
   -0.88000000   -4.00000000    0.07443709    0.00000000
   -0.80000000   -4.00000000    0.07415547    0.00000000
   -0.72000000   -4.00000000    0.07373503    0.00000000
   -0.64000000   -4.00000000    0.07317814    0.00000000
   -0.56000000   -4.00000000    0.07248795    0.00000000
   -0.48000000   -4.00000000    0.07166831    0.00000000
   -0.40000000   -4.00000000    0.07072377    0.00000000
   -0.32000000   -4.00000000    0.06965952    0.00000000
   -0.24000000   -4.00000000    0.06848137    0.00000000
   -0.16000000   -4.00000000    0.06719568    0.00000000
   -0.08000000   -4.00000000    0.06580928    0.00000000
    0.00000000   -4.00000000    0.06432944    0.00000000
    0.08000000   -4.00000000    0.06276381    0.00000000
