 TITLE = "DIFFUSION 2D - FD"
 VARIABLES = "X" "Y" "C" "ERR"
  ZONE F=POINT, I=         101 , J=          101
   -4.00000000   -4.00000000    0.02703620    0.00000000
   -3.92000000   -4.00000000    0.02858520    0.00000000
   -3.84000000   -4.00000000    0.03017748    0.00000000
   -3.76000000   -4.00000000    0.03181051    0.00000000
   -3.68000000   -4.00000000    0.03348146    0.00000000
   -3.60000000   -4.00000000    0.03518717    0.00000000
   -3.52000000   -4.00000000    0.03692412    0.00000000
   -3.44000000   -4.00000000    0.03868853    0.00000000
   -3.36000000   -4.00000000    0.04047625    0.00000000
   -3.28000000   -4.00000000    0.04228286    0.00000000
   -3.20000000   -4.00000000    0.04410365    0.00000000
   -3.12000000   -4.00000000    0.04593363    0.00000000
   -3.04000000   -4.00000000    0.04776756    0.00000000
   -2.96000000   -4.00000000    0.04959997    0.00000000
   -2.88000000   -4.00000000    0.05142519    0.00000000
   -2.80000000   -4.00000000    0.05323734    0.00000000
   -2.72000000   -4.00000000    0.05503044    0.00000000
   -2.64000000   -4.00000000    0.05679833    0.00000000
   -2.56000000   -4.00000000    0.05853482    0.00000000
   -2.48000000   -4.00000000    0.06023363    0.00000000
   -2.40000000   -4.00000000    0.06188849    0.00000000
   -2.32000000   -4.00000000    0.06349313    0.00000000
   -2.24000000   -4.00000000    0.06504138    0.00000000
   -2.16000000   -4.00000000    0.06652712    0.00000000
   -2.08000000   -4.00000000    0.06794442    0.00000000
   -2.00000000   -4.00000000    0.06928751    0.00000000
   -1.92000000   -4.00000000    0.07055084    0.00000000
   -1.84000000   -4.00000000    0.07172912    0.00000000
   -1.76000000   -4.00000000    0.07281734    0.00000000
   -1.68000000   -4.00000000    0.07381086    0.00000000
   -1.60000000   -4.00000000    0.07470535    0.00000000
   -1.52000000   -4.00000000    0.07549693    0.00000000
   -1.44000000   -4.00000000    0.07618209    0.00000000
   -1.36000000   -4.00000000    0.07675781    0.00000000
   -1.28000000   -4.00000000    0.07722151    0.00000000
   -1.20000000   -4.00000000    0.07757113    0.00000000
   -1.12000000   -4.00000000    0.07780508    0.00000000
   -1.04000000   -4.00000000    0.07792232    0.00000000
   -0.96000000   -4.00000000    0.07792232    0.00000000
   -0.88000000   -4.00000000    0.07780508    0.00000000
   -0.80000000   -4.00000000    0.07757113    0.00000000
   -0.72000000   -4.00000000    0.07722151    0.00000000
   -0.64000000   -4.00000000    0.07675781    0.00000000
   -0.56000000   -4.00000000    0.07618209    0.00000000
   -0.48000000   -4.00000000    0.07549693    0.00000000
   -0.40000000   -4.00000000    0.07470535    0.00000000
   -0.32000000   -4.00000000    0.07381086    0.00000000
   -0.24000000   -4.00000000    0.07281734    0.00000000
   -0.16000000   -4.00000000    0.07172912    0.00000000
   -0.08000000   -4.00000000    0.07055084    0.00000000
    0.00000000   -4.00000000    0.06928751    0.00000000
    0.08000000   -4.00000000    0.06794442    0.00000000
