 TITLE = "DIFFUSION 2D - FD"
 VARIABLES = "X" "Y" "C" "ERR"
  ZONE F=POINT, I=         101 , J=          101
   -4.00000000   -4.00000000    0.00232002    0.00000000
   -3.92000000   -4.00000000    0.00268364    0.00000000
   -3.84000000   -4.00000000    0.00309205    0.00000000
   -3.76000000   -4.00000000    0.00354863    0.00000000
   -3.68000000   -4.00000000    0.00405664    0.00000000
   -3.60000000   -4.00000000    0.00461916    0.00000000
   -3.52000000   -4.00000000    0.00523902    0.00000000
   -3.44000000   -4.00000000    0.00591873    0.00000000
   -3.36000000   -4.00000000    0.00666036    0.00000000
   -3.28000000   -4.00000000    0.00746549    0.00000000
   -3.20000000   -4.00000000    0.00833508    0.00000000
   -3.12000000   -4.00000000    0.00926941    0.00000000
   -3.04000000   -4.00000000    0.01026799    0.00000000
   -2.96000000   -4.00000000    0.01132948    0.00000000
   -2.88000000   -4.00000000    0.01245161    0.00000000
   -2.80000000   -4.00000000    0.01363114    0.00000000
   -2.72000000   -4.00000000    0.01486379    0.00000000
   -2.64000000   -4.00000000    0.01614426    0.00000000
   -2.56000000   -4.00000000    0.01746618    0.00000000
   -2.48000000   -4.00000000    0.01882212    0.00000000
   -2.40000000   -4.00000000    0.02020366    0.00000000
   -2.32000000   -4.00000000    0.02160144    0.00000000
   -2.24000000   -4.00000000    0.02300522    0.00000000
   -2.16000000   -4.00000000    0.02440401    0.00000000
   -2.08000000   -4.00000000    0.02578617    0.00000000
   -2.00000000   -4.00000000    0.02713961    0.00000000
   -1.92000000   -4.00000000    0.02845190    0.00000000
   -1.84000000   -4.00000000    0.02971051    0.00000000
   -1.76000000   -4.00000000    0.03090295    0.00000000
   -1.68000000   -4.00000000    0.03201701    0.00000000
   -1.60000000   -4.00000000    0.03304095    0.00000000
   -1.52000000   -4.00000000    0.03396373    0.00000000
   -1.44000000   -4.00000000    0.03477517    0.00000000
   -1.36000000   -4.00000000    0.03546616    0.00000000
   -1.28000000   -4.00000000    0.03602883    0.00000000
   -1.20000000   -4.00000000    0.03645668    0.00000000
   -1.12000000   -4.00000000    0.03674473    0.00000000
   -1.04000000   -4.00000000    0.03688960    0.00000000
   -0.96000000   -4.00000000    0.03688960    0.00000000
   -0.88000000   -4.00000000    0.03674473    0.00000000
   -0.80000000   -4.00000000    0.03645668    0.00000000
   -0.72000000   -4.00000000    0.03602883    0.00000000
   -0.64000000   -4.00000000    0.03546616    0.00000000
   -0.56000000   -4.00000000    0.03477517    0.00000000
   -0.48000000   -4.00000000    0.03396373    0.00000000
   -0.40000000   -4.00000000    0.03304095    0.00000000
   -0.32000000   -4.00000000    0.03201701    0.00000000
   -0.24000000   -4.00000000    0.03090295    0.00000000
   -0.16000000   -4.00000000    0.02971051    0.00000000
   -0.08000000   -4.00000000    0.02845190    0.00000000
    0.00000000   -4.00000000    0.02713961    0.00000000
    0.08000000   -4.00000000    0.02578617    0.00000000
    0.16000000   -4.00000000    0.02440401    0.00000000
    0.24000000   -4.00000000    0.02300522    0.00000000
    0.32000000   -4.00000000    0.02160144    0.00000000
    0.40000000   -4.00000000    0.02020366    0.00000000
    0.48000000   -4.00000000    0.01882212    0.00000000
    0.56000000   -4.00000000    0.01746618    0.00000000
    0.64000000   -4.00000000    0.01614426    0.00000000
    0.72000000   -4.00000000    0.01486379    0.00000000
    0.80000000   -4.00000000    0.01363114    0.00000000
    0.88000000   -4.00000000    0.01245161    0.00000000
    0.96000000   -4.00000000    0.01132948    0.00000000
    1.04000000   -4.00000000    0.01026799    0.00000000
    1.12000000   -4.00000000    0.00926941    0.00000000
    1.20000000   -4.00000000    0.00833508    0.00000000
    1.28000000   -4.00000000    0.00746549    0.00000000
    1.36000000   -4.00000000    0.00666036    0.00000000
    1.44000000   -4.00000000    0.00591873    0.00000000
    1.52000000   -4.00000000    0.00523902    0.00000000
    1.60000000   -4.00000000    0.00461916    0.00000000
    1.68000000   -4.00000000    0.00405664    0.00000000
    1.76000000   -4.00000000    0.00354863    0.00000000
    1.84000000   -4.00000000    0.00309205    0.00000000
    1.92000000   -4.00000000    0.00268364    0.00000000
    2.00000000   -4.00000000    0.00232002    0.00000000
    2.08000000   -4.00000000    0.00199779    0.00000000
    2.16000000   -4.00000000    0.00171356    0.00000000
    2.24000000   -4.00000000    0.00146400    0.00000000
    2.32000000   -4.00000000    0.00124587    0.00000000
    2.40000000   -4.00000000    0.00105608    0.00000000
    2.48000000   -4.00000000    0.00089168    0.00000000
    2.56000000   -4.00000000    0.00074992    0.00000000
    2.64000000   -4.00000000    0.00062822    0.00000000
    2.72000000   -4.00000000    0.00052420    0.00000000
    2.80000000   -4.00000000    0.00043569    0.00000000
    2.88000000   -4.00000000    0.00036070    0.00000000
    2.96000000   -4.00000000    0.00029744    0.00000000
    3.04000000   -4.00000000    0.00024432    0.00000000
    3.12000000   -4.00000000    0.00019989    0.00000000
    3.20000000   -4.00000000    0.00016290    0.00000000
    3.28000000   -4.00000000    0.00013224    0.00000000
    3.36000000   -4.00000000    0.00010692    0.00000000
    3.44000000   -4.00000000    0.00008611    0.00000000
    3.52000000   -4.00000000    0.00006908    0.00000000
    3.60000000   -4.00000000    0.00005520    0.00000000
    3.68000000   -4.00000000    0.00004394    0.00000000
    3.76000000   -4.00000000    0.00003483    0.00000000
    3.84000000   -4.00000000    0.00002751    0.00000000
    3.92000000   -4.00000000    0.00002164    0.00000000
    4.00000000   -4.00000000    0.00001695    0.00000000
   -4.00000000   -3.92000000    0.00268364    0.00000000
   -3.92000000   -3.92000000    0.00332843    0.00022418
   -3.84000000   -3.92000000    0.00424473    0.00066806
   -3.76000000   -3.92000000    0.00502918    0.00092437
   -3.68000000   -3.92000000    0.00582008    0.00112764
   -3.60000000   -3.92000000    0.00666367    0.00132055
   -3.52000000   -3.92000000    0.00757857    0.00151843
   -3.44000000   -3.92000000    0.00857429    0.00172791
   -3.36000000   -3.92000000    0.00965651    0.00195226
   -3.28000000   -3.92000000    0.01082886    0.00219330
   -3.20000000   -3.92000000    0.01209349    0.00245205
   -3.12000000   -3.92000000    0.01345126    0.00272905
   -3.04000000   -3.92000000    0.01490172    0.00302442
   -2.96000000   -3.92000000    0.01644312    0.00333796
   -2.88000000   -3.92000000    0.01807229    0.00366913
   -2.80000000   -3.92000000    0.01978460    0.00401704
   -2.72000000   -3.92000000    0.02157393    0.00438052
   -2.64000000   -3.92000000    0.02343261    0.00475804
   -2.56000000   -3.92000000    0.02535142    0.00514776
   -2.48000000   -3.92000000    0.02731964    0.00554752
   -2.40000000   -3.92000000    0.02932506    0.00595486
   -2.32000000   -3.92000000    0.03135408    0.00636703
   -2.24000000   -3.92000000    0.03339186    0.00678101
   -2.16000000   -3.92000000    0.03542245    0.00719359
   -2.08000000   -3.92000000    0.03742897    0.00760131
   -2.00000000   -3.92000000    0.03939385    0.00800063
   -1.92000000   -3.92000000    0.04129905    0.00838786
   -1.84000000   -3.92000000    0.04312636    0.00875931
   -1.76000000   -3.92000000    0.04485766    0.00911127
   -1.68000000   -3.92000000    0.04647520    0.00944014
   -1.60000000   -3.92000000    0.04796194    0.00974245
   -1.52000000   -3.92000000    0.04930181    0.01001492
   -1.44000000   -3.92000000    0.05048005    0.01025454
   -1.36000000   -3.92000000    0.05148341    0.01045861
   -1.28000000   -3.92000000    0.05230044    0.01062479
   -1.20000000   -3.92000000    0.05292171    0.01075116
