 TITLE = "DIFFUSION 2D - FD"
 VARIABLES = "X" "Y" "C" "ERR"
  ZONE F=POINT, I=         101 , J=          101
   -4.00000000   -4.00000000    0.00000091    0.00000000
   -3.92000000   -4.00000000    0.00000132    0.00000000
   -3.84000000   -4.00000000    0.00000191    0.00000000
   -3.76000000   -4.00000000    0.00000273    0.00000000
   -3.68000000   -4.00000000    0.00000386    0.00000000
   -3.60000000   -4.00000000    0.00000540    0.00000000
   -3.52000000   -4.00000000    0.00000749    0.00000000
   -3.44000000   -4.00000000    0.00001027    0.00000000
   -3.36000000   -4.00000000    0.00001394    0.00000000
   -3.28000000   -4.00000000    0.00001873    0.00000000
   -3.20000000   -4.00000000    0.00002492    0.00000000
   -3.12000000   -4.00000000    0.00003281    0.00000000
   -3.04000000   -4.00000000    0.00004276    0.00000000
   -2.96000000   -4.00000000    0.00005517    0.00000000
   -2.88000000   -4.00000000    0.00007046    0.00000000
   -2.80000000   -4.00000000    0.00008907    0.00000000
   -2.72000000   -4.00000000    0.00011145    0.00000000
   -2.64000000   -4.00000000    0.00013805    0.00000000
   -2.56000000   -4.00000000    0.00016926    0.00000000
   -2.48000000   -4.00000000    0.00020542    0.00000000
   -2.40000000   -4.00000000    0.00024678    0.00000000
   -2.32000000   -4.00000000    0.00029346    0.00000000
   -2.24000000   -4.00000000    0.00034543    0.00000000
   -2.16000000   -4.00000000    0.00040249    0.00000000
   -2.08000000   -4.00000000    0.00046421    0.00000000
   -2.00000000   -4.00000000    0.00052997    0.00000000
   -1.92000000   -4.00000000    0.00059891    0.00000000
   -1.84000000   -4.00000000    0.00066996    0.00000000
   -1.76000000   -4.00000000    0.00074184    0.00000000
   -1.68000000   -4.00000000    0.00081310    0.00000000
   -1.60000000   -4.00000000    0.00088216    0.00000000
   -1.52000000   -4.00000000    0.00094740    0.00000000
   -1.44000000   -4.00000000    0.00100713    0.00000000
   -1.36000000   -4.00000000    0.00105978    0.00000000
   -1.28000000   -4.00000000    0.00110388    0.00000000
   -1.20000000   -4.00000000    0.00113815    0.00000000
   -1.12000000   -4.00000000    0.00116158    0.00000000
   -1.04000000   -4.00000000    0.00117348    0.00000000
   -0.96000000   -4.00000000    0.00117348    0.00000000
   -0.88000000   -4.00000000    0.00116158    0.00000000
   -0.80000000   -4.00000000    0.00113815    0.00000000
   -0.72000000   -4.00000000    0.00110388    0.00000000
   -0.64000000   -4.00000000    0.00105978    0.00000000
   -0.56000000   -4.00000000    0.00100713    0.00000000
   -0.48000000   -4.00000000    0.00094740    0.00000000
   -0.40000000   -4.00000000    0.00088216    0.00000000
   -0.32000000   -4.00000000    0.00081310    0.00000000
   -0.24000000   -4.00000000    0.00074184    0.00000000
   -0.16000000   -4.00000000    0.00066996    0.00000000
   -0.08000000   -4.00000000    0.00059891    0.00000000
    0.00000000   -4.00000000    0.00052997    0.00000000
    0.08000000   -4.00000000    0.00046421    0.00000000
    0.16000000   -4.00000000    0.00040249    0.00000000
    0.24000000   -4.00000000    0.00034543    0.00000000
    0.32000000   -4.00000000    0.00029346    0.00000000
    0.40000000   -4.00000000    0.00024678    0.00000000
    0.48000000   -4.00000000    0.00020542    0.00000000
    0.56000000   -4.00000000    0.00016926    0.00000000
    0.64000000   -4.00000000    0.00013805    0.00000000
    0.72000000   -4.00000000    0.00011145    0.00000000
    0.80000000   -4.00000000    0.00008907    0.00000000
    0.88000000   -4.00000000    0.00007046    0.00000000
    0.96000000   -4.00000000    0.00005517    0.00000000
    1.04000000   -4.00000000    0.00004276    0.00000000
