 TITLE = "DIFFUSION 2D - FD"
 VARIABLES = "X" "Y" "C" "ERR"
  ZONE F=POINT, I=         101 , J=          101
   -4.00000000   -4.00000000    0.00057603    0.00000000
   -3.92000000   -4.00000000    0.00069596    0.00000000
   -3.84000000   -4.00000000    0.00083657    0.00000000
   -3.76000000   -4.00000000    0.00100047    0.00000000
   -3.68000000   -4.00000000    0.00119038    0.00000000
   -3.60000000   -4.00000000    0.00140912    0.00000000
   -3.52000000   -4.00000000    0.00165955    0.00000000
   -3.44000000   -4.00000000    0.00194451    0.00000000
   -3.36000000   -4.00000000    0.00226679    0.00000000
   -3.28000000   -4.00000000    0.00262901    0.00000000
   -3.20000000   -4.00000000    0.00303357    0.00000000
   -3.12000000   -4.00000000    0.00348253    0.00000000
   -3.04000000   -4.00000000    0.00397755    0.00000000
   -2.96000000   -4.00000000    0.00451977    0.00000000
   -2.88000000   -4.00000000    0.00510972    0.00000000
   -2.80000000   -4.00000000    0.00574722    0.00000000
   -2.72000000   -4.00000000    0.00643130    0.00000000
   -2.64000000   -4.00000000    0.00716011    0.00000000
   -2.56000000   -4.00000000    0.00793086    0.00000000
   -2.48000000   -4.00000000    0.00873979    0.00000000
   -2.40000000   -4.00000000    0.00958212    0.00000000
   -2.32000000   -4.00000000    0.01045206    0.00000000
   -2.24000000   -4.00000000    0.01134286    0.00000000
   -2.16000000   -4.00000000    0.01224682    0.00000000
   -2.08000000   -4.00000000    0.01315539    0.00000000
   -2.00000000   -4.00000000    0.01405932    0.00000000
   -1.92000000   -4.00000000    0.01494874    0.00000000
   -1.84000000   -4.00000000    0.01581339    0.00000000
   -1.76000000   -4.00000000    0.01664276    0.00000000
   -1.68000000   -4.00000000    0.01742632    0.00000000
   -1.60000000   -4.00000000    0.01815373    0.00000000
   -1.52000000   -4.00000000    0.01881509    0.00000000
   -1.44000000   -4.00000000    0.01940110    0.00000000
   -1.36000000   -4.00000000    0.01990337    0.00000000
   -1.28000000   -4.00000000    0.02031453    0.00000000
   -1.20000000   -4.00000000    0.02062846    0.00000000
   -1.12000000   -4.00000000    0.02084044    0.00000000
   -1.04000000   -4.00000000    0.02094725    0.00000000
   -0.96000000   -4.00000000    0.02094725    0.00000000
   -0.88000000   -4.00000000    0.02084044    0.00000000
   -0.80000000   -4.00000000    0.02062846    0.00000000
   -0.72000000   -4.00000000    0.02031453    0.00000000
   -0.64000000   -4.00000000    0.01990337    0.00000000
   -0.56000000   -4.00000000    0.01940110    0.00000000
   -0.48000000   -4.00000000    0.01881509    0.00000000
   -0.40000000   -4.00000000    0.01815373    0.00000000
   -0.32000000   -4.00000000    0.01742632    0.00000000
   -0.24000000   -4.00000000    0.01664276    0.00000000
   -0.16000000   -4.00000000    0.01581339    0.00000000
   -0.08000000   -4.00000000    0.01494874    0.00000000
    0.00000000   -4.00000000    0.01405932    0.00000000
    0.08000000   -4.00000000    0.01315539    0.00000000
    0.16000000   -4.00000000    0.01224682    0.00000000
    0.24000000   -4.00000000    0.01134286    0.00000000
    0.32000000   -4.00000000    0.01045206    0.00000000
    0.40000000   -4.00000000    0.00958212    0.00000000
    0.48000000   -4.00000000    0.00873979    0.00000000
    0.56000000   -4.00000000    0.00793086    0.00000000
    0.64000000   -4.00000000    0.00716011    0.00000000
    0.72000000   -4.00000000    0.00643130    0.00000000
    0.80000000   -4.00000000    0.00574722    0.00000000
    0.88000000   -4.00000000    0.00510972    0.00000000
    0.96000000   -4.00000000    0.00451977    0.00000000
    1.04000000   -4.00000000    0.00397755    0.00000000
    1.12000000   -4.00000000    0.00348253    0.00000000
    1.20000000   -4.00000000    0.00303357    0.00000000
    1.28000000   -4.00000000    0.00262901    0.00000000
    1.36000000   -4.00000000    0.00226679    0.00000000
    1.44000000   -4.00000000    0.00194451    0.00000000
    1.52000000   -4.00000000    0.00165955    0.00000000
    1.60000000   -4.00000000    0.00140912    0.00000000
    1.68000000   -4.00000000    0.00119038    0.00000000
    1.76000000   -4.00000000    0.00100047    0.00000000
    1.84000000   -4.00000000    0.00083657    0.00000000
    1.92000000   -4.00000000    0.00069596    0.00000000
    2.00000000   -4.00000000    0.00057603    0.00000000
    2.08000000   -4.00000000    0.00047433    0.00000000
    2.16000000   -4.00000000    0.00038860    0.00000000
    2.24000000   -4.00000000    0.00031674    0.00000000
    2.32000000   -4.00000000    0.00025685    0.00000000
    2.40000000   -4.00000000    0.00020722    0.00000000
    2.48000000   -4.00000000    0.00016633    0.00000000
    2.56000000   -4.00000000    0.00013283    0.00000000
    2.64000000   -4.00000000    0.00010553    0.00000000
    2.72000000   -4.00000000    0.00008342    0.00000000
    2.80000000   -4.00000000    0.00006560    0.00000000
    2.88000000   -4.00000000    0.00005133    0.00000000
    2.96000000   -4.00000000    0.00003996    0.00000000
    3.04000000   -4.00000000    0.00003094    0.00000000
    3.12000000   -4.00000000    0.00002384    0.00000000
    3.20000000   -4.00000000    0.00001828    0.00000000
    3.28000000   -4.00000000    0.00001394    0.00000000
    3.36000000   -4.00000000    0.00001058    0.00000000
    3.44000000   -4.00000000    0.00000798    0.00000000
    3.52000000   -4.00000000    0.00000600    0.00000000
    3.60000000   -4.00000000    0.00000448    0.00000000
    3.68000000   -4.00000000    0.00000333    0.00000000
    3.76000000   -4.00000000    0.00000246    0.00000000
    3.84000000   -4.00000000    0.00000181    0.00000000
    3.92000000   -4.00000000    0.00000133    0.00000000
    4.00000000   -4.00000000    0.00000097    0.00000000
   -4.00000000   -3.92000000    0.00069596    0.00000000
   -3.92000000   -3.92000000    0.00092297    0.00008211
   -3.84000000   -3.92000000    0.00125769    0.00024694
   -3.76000000   -3.92000000    0.00155960    0.00035083
   -3.68000000   -3.92000000    0.00187961    0.00044138
   -3.60000000   -3.92000000    0.00223662    0.00053411
   -3.52000000   -3.92000000    0.00264016    0.00063509
   -3.44000000   -3.92000000    0.00309674    0.00074737
   -3.36000000   -3.92000000    0.00361167    0.00087291
   -3.28000000   -3.92000000    0.00418954    0.00101315
   -3.20000000   -3.92000000    0.00483440    0.00116922
   -3.12000000   -3.92000000    0.00554968    0.00134207
   -3.04000000   -3.92000000    0.00633811    0.00153241
   -2.96000000   -3.92000000    0.00720153    0.00174072
   -2.88000000   -3.92000000    0.00814085    0.00196725
   -2.80000000   -3.92000000    0.00915579    0.00221195
   -2.72000000   -3.92000000    0.01024482    0.00247448
