 TITLE = "DIFFUSION 2D - FD"
 VARIABLES = "X" "Y" "C" "ERR"
  ZONE F=POINT, I=         101 , J=          101
   -4.00000000   -4.00000000    0.02612585    0.00000000
   -3.92000000   -4.00000000    0.02766929    0.00000000
   -3.84000000   -4.00000000    0.02925848    0.00000000
   -3.76000000   -4.00000000    0.03089099    0.00000000
   -3.68000000   -4.00000000    0.03256403    0.00000000
   -3.60000000   -4.00000000    0.03427448    0.00000000
   -3.52000000   -4.00000000    0.03601885    0.00000000
   -3.44000000   -4.00000000    0.03779332    0.00000000
   -3.36000000   -4.00000000    0.03959374    0.00000000
   -3.28000000   -4.00000000    0.04141563    0.00000000
   -3.20000000   -4.00000000    0.04325420    0.00000000
   -3.12000000   -4.00000000    0.04510438    0.00000000
   -3.04000000   -4.00000000    0.04696078    0.00000000
   -2.96000000   -4.00000000    0.04881780    0.00000000
   -2.88000000   -4.00000000    0.05066959    0.00000000
   -2.80000000   -4.00000000    0.05251010    0.00000000
   -2.72000000   -4.00000000    0.05433312    0.00000000
   -2.64000000   -4.00000000    0.05613228    0.00000000
   -2.56000000   -4.00000000    0.05790113    0.00000000
   -2.48000000   -4.00000000    0.05963313    0.00000000
   -2.40000000   -4.00000000    0.06132175    0.00000000
   -2.32000000   -4.00000000    0.06296043    0.00000000
   -2.24000000   -4.00000000    0.06454271    0.00000000
   -2.16000000   -4.00000000    0.06606218    0.00000000
   -2.08000000   -4.00000000    0.06751262    0.00000000
   -2.00000000   -4.00000000    0.06888795    0.00000000
   -1.92000000   -4.00000000    0.07018234    0.00000000
   -1.84000000   -4.00000000    0.07139022    0.00000000
   -1.76000000   -4.00000000    0.07250633    0.00000000
   -1.68000000   -4.00000000    0.07352573    0.00000000
   -1.60000000   -4.00000000    0.07444390    0.00000000
   -1.52000000   -4.00000000    0.07525669    0.00000000
   -1.44000000   -4.00000000    0.07596043    0.00000000
   -1.36000000   -4.00000000    0.07655190    0.00000000
   -1.28000000   -4.00000000    0.07702840    0.00000000
   -1.20000000   -4.00000000    0.07738771    0.00000000
   -1.12000000   -4.00000000    0.07762819    0.00000000
   -1.04000000   -4.00000000    0.07774870    0.00000000
   -0.96000000   -4.00000000    0.07774870    0.00000000
   -0.88000000   -4.00000000    0.07762819    0.00000000
   -0.80000000   -4.00000000    0.07738771    0.00000000
   -0.72000000   -4.00000000    0.07702840    0.00000000
   -0.64000000   -4.00000000    0.07655190    0.00000000
   -0.56000000   -4.00000000    0.07596043    0.00000000
   -0.48000000   -4.00000000    0.07525669    0.00000000
   -0.40000000   -4.00000000    0.07444390    0.00000000
   -0.32000000   -4.00000000    0.07352573    0.00000000
   -0.24000000   -4.00000000    0.07250633    0.00000000
   -0.16000000   -4.00000000    0.07139022    0.00000000
   -0.08000000   -4.00000000    0.07018234    0.00000000
    0.00000000   -4.00000000    0.06888795    0.00000000
    0.08000000   -4.00000000    0.06751262    0.00000000
    0.16000000   -4.00000000    0.06606218    0.00000000
    0.24000000   -4.00000000    0.06454271    0.00000000
    0.32000000   -4.00000000    0.06296043    0.00000000
    0.40000000   -4.00000000    0.06132175    0.00000000
    0.48000000   -4.00000000    0.05963313    0.00000000
    0.56000000   -4.00000000    0.05790113    0.00000000
    0.64000000   -4.00000000    0.05613228    0.00000000
    0.72000000   -4.00000000    0.05433312    0.00000000
    0.80000000   -4.00000000    0.05251010    0.00000000
    0.88000000   -4.00000000    0.05066959    0.00000000
    0.96000000   -4.00000000    0.04881780    0.00000000
    1.04000000   -4.00000000    0.04696078    0.00000000
    1.12000000   -4.00000000    0.04510438    0.00000000
    1.20000000   -4.00000000    0.04325420    0.00000000
    1.28000000   -4.00000000    0.04141563    0.00000000
    1.36000000   -4.00000000    0.03959374    0.00000000
    1.44000000   -4.00000000    0.03779332    0.00000000
    1.52000000   -4.00000000    0.03601885    0.00000000
    1.60000000   -4.00000000    0.03427448    0.00000000
    1.68000000   -4.00000000    0.03256403    0.00000000
    1.76000000   -4.00000000    0.03089099    0.00000000
    1.84000000   -4.00000000    0.02925848    0.00000000
    1.92000000   -4.00000000    0.02766929    0.00000000
    2.00000000   -4.00000000    0.02612585    0.00000000
    2.08000000   -4.00000000    0.02463027    0.00000000
    2.16000000   -4.00000000    0.02318432    0.00000000
    2.24000000   -4.00000000    0.02178942    0.00000000
    2.32000000   -4.00000000    0.02044670    0.00000000
    2.40000000   -4.00000000    0.01915699    0.00000000
    2.48000000   -4.00000000    0.01792080    0.00000000
    2.56000000   -4.00000000    0.01673840    0.00000000
    2.64000000   -4.00000000    0.01560977    0.00000000
    2.72000000   -4.00000000    0.01453469    0.00000000
    2.80000000   -4.00000000    0.01351266    0.00000000
    2.88000000   -4.00000000    0.01254303    0.00000000
    2.96000000   -4.00000000    0.01162493    0.00000000
    3.04000000   -4.00000000    0.01075733    0.00000000
    3.12000000   -4.00000000    0.00993906    0.00000000
    3.20000000   -4.00000000    0.00916879    0.00000000
    3.28000000   -4.00000000    0.00844510    0.00000000
    3.36000000   -4.00000000    0.00776648    0.00000000
    3.44000000   -4.00000000    0.00713132    0.00000000
    3.52000000   -4.00000000    0.00653795    0.00000000
    3.60000000   -4.00000000    0.00598466    0.00000000
    3.68000000   -4.00000000    0.00546971    0.00000000
    3.76000000   -4.00000000    0.00499132    0.00000000
    3.84000000   -4.00000000    0.00454770    0.00000000
    3.92000000   -4.00000000    0.00413709    0.00000000
    4.00000000   -4.00000000    0.00375772    0.00000000
   -4.00000000   -3.92000000    0.02766929    0.00000000
   -3.92000000   -3.92000000    0.03005186    0.00074796
   -3.84000000   -3.92000000    0.03319736    0.00221038
   -3.76000000   -3.92000000    0.03561649    0.00290056
   -3.68000000   -3.92000000    0.03781756    0.00332974
   -3.60000000   -3.92000000    0.03995675    0.00365744
   -3.52000000   -3.92000000    0.04208672    0.00394000
   -3.44000000   -3.92000000    0.04422612    0.00420010
   -3.36000000   -3.92000000    0.04638077    0.00444796
   -3.28000000   -3.92000000    0.04855094    0.00468860
   -3.20000000   -3.92000000    0.05073414    0.00492461
   -3.12000000   -3.92000000    0.05292632    0.00515731
   -3.04000000   -3.92000000    0.05512240    0.00538732
   -2.96000000   -3.92000000    0.05731662    0.00561481
   -2.88000000   -3.92000000    0.05950270    0.00583971
   -2.80000000   -3.92000000    0.06167396    0.00606172
   -2.72000000   -3.92000000    0.06382340    0.00628045
   -2.64000000   -3.92000000    0.06594379    0.00649539
   -2.56000000   -3.92000000    0.06802772    0.00670597
   -2.48000000   -3.92000000    0.07006766    0.00691158
   -2.40000000   -3.92000000    0.07205603    0.00711158
   -2.32000000   -3.92000000    0.07398523    0.00730529
   -2.24000000   -3.92000000    0.07584773    0.00749204
   -2.16000000   -3.92000000    0.07763607    0.00767113
   -2.08000000   -3.92000000    0.07934296    0.00784190
   -2.00000000   -3.92000000    0.08096132    0.00800368
   -1.92000000   -3.92000000    0.08248433    0.00815583
   -1.84000000   -3.92000000    0.08390546    0.00829772
   -1.76000000   -3.92000000    0.08521854    0.00842876
   -1.68000000   -3.92000000    0.08641781    0.00854840
   -1.60000000   -3.92000000    0.08749795    0.00865614
   -1.52000000   -3.92000000    0.08845411    0.00875149
   -1.44000000   -3.92000000    0.08928199    0.00883405
   -1.36000000   -3.92000000    0.08997780    0.00890345
   -1.28000000   -3.92000000    0.09053838    0.00895938
   -1.20000000   -3.92000000    0.09096114    0.00900160
   -1.12000000   -3.92000000    0.09124414    0.00902992
   -1.04000000   -3.92000000    0.09138607    0.00904421
   -0.96000000   -3.92000000    0.09138628    0.00904442
   -0.88000000   -3.92000000    0.09124477    0.00903055
   -0.80000000   -3.92000000    0.09096220    0.00900266
   -0.72000000   -3.92000000    0.09053989    0.00896090
   -0.64000000   -3.92000000    0.08997981    0.00890545
   -0.56000000   -3.92000000    0.08928453    0.00883659
   -0.48000000   -3.92000000    0.08845725    0.00875463
   -0.40000000   -3.92000000    0.08750176    0.00865994
   -0.32000000   -3.92000000    0.08642238    0.00855297
   -0.24000000   -3.92000000    0.08522397    0.00843419
   -0.16000000   -3.92000000    0.08391187    0.00830413
   -0.08000000   -3.92000000    0.08249189    0.00816338
    0.00000000   -3.92000000    0.08097019    0.00801255
    0.08000000   -3.92000000    0.07935335    0.00785230
    0.16000000   -3.92000000    0.07764823    0.00768329
    0.24000000   -3.92000000    0.07586195    0.00750625
    0.32000000   -3.92000000    0.07400185    0.00732191
    0.40000000   -3.92000000    0.07207545    0.00713100
    0.48000000   -3.92000000    0.07009037    0.00693429
    0.56000000   -3.92000000    0.06805429    0.00673254
    0.64000000   -3.92000000    0.06597492    0.00652652
    0.72000000   -3.92000000    0.06385994    0.00631698
    0.80000000   -3.92000000    0.06171693    0.00610469
    0.88000000   -3.92000000    0.05955337    0.00589037
    0.96000000   -3.92000000    0.05737657    0.00567476
    1.04000000   -3.92000000    0.05519365    0.00545857
    1.12000000   -3.92000000    0.05301147    0.00524246
    1.20000000   -3.92000000    0.05083663    0.00502710
    1.28000000   -3.92000000    0.04867545    0.00481311
    1.36000000   -3.92000000    0.04653390    0.00460109
    1.44000000   -3.92000000    0.04441760    0.00439157
