 TITLE = "DIFFUSION 2D - FD"
 VARIABLES = "X" "Y" "C" "ERR"
  ZONE F=POINT, I=         101 , J=          101
   -4.00000000   -4.00000000    0.01043689    0.00000000
   -3.92000000   -4.00000000    0.01147381    0.00000000
   -3.84000000   -4.00000000    0.01258149    0.00000000
   -3.76000000   -4.00000000    0.01376084    0.00000000
   -3.68000000   -4.00000000    0.01501226    0.00000000
   -3.60000000   -4.00000000    0.01633560    0.00000000
   -3.52000000   -4.00000000    0.01773016    0.00000000
   -3.44000000   -4.00000000    0.01919456    0.00000000
   -3.36000000   -4.00000000    0.02072679    0.00000000
   -3.28000000   -4.00000000    0.02232410    0.00000000
   -3.20000000   -4.00000000    0.02398304    0.00000000
   -3.12000000   -4.00000000    0.02569938    0.00000000
   -3.04000000   -4.00000000    0.02746814    0.00000000
   -2.96000000   -4.00000000    0.02928358    0.00000000
   -2.88000000   -4.00000000    0.03113918    0.00000000
   -2.80000000   -4.00000000    0.03302771    0.00000000
   -2.72000000   -4.00000000    0.03494121    0.00000000
   -2.64000000   -4.00000000    0.03687106    0.00000000
   -2.56000000   -4.00000000    0.03880802    0.00000000
   -2.48000000   -4.00000000    0.04074230    0.00000000
   -2.40000000   -4.00000000    0.04266364    0.00000000
   -2.32000000   -4.00000000    0.04456135    0.00000000
   -2.24000000   -4.00000000    0.04642448    0.00000000
   -2.16000000   -4.00000000    0.04824185    0.00000000
   -2.08000000   -4.00000000    0.05000220    0.00000000
   -2.00000000   -4.00000000    0.05169427    0.00000000
   -1.92000000   -4.00000000    0.05330696    0.00000000
   -1.84000000   -4.00000000    0.05482942    0.00000000
   -1.76000000   -4.00000000    0.05625118    0.00000000
   -1.68000000   -4.00000000    0.05756225    0.00000000
   -1.60000000   -4.00000000    0.05875328    0.00000000
   -1.52000000   -4.00000000    0.05981563    0.00000000
   -1.44000000   -4.00000000    0.06074149    0.00000000
   -1.36000000   -4.00000000    0.06152398    0.00000000
   -1.28000000   -4.00000000    0.06215722    0.00000000
   -1.20000000   -4.00000000    0.06263642    0.00000000
   -1.12000000   -4.00000000    0.06295794    0.00000000
   -1.04000000   -4.00000000    0.06311932    0.00000000
   -0.96000000   -4.00000000    0.06311932    0.00000000
   -0.88000000   -4.00000000    0.06295794    0.00000000
   -0.80000000   -4.00000000    0.06263642    0.00000000
   -0.72000000   -4.00000000    0.06215722    0.00000000
   -0.64000000   -4.00000000    0.06152398    0.00000000
   -0.56000000   -4.00000000    0.06074149    0.00000000
   -0.48000000   -4.00000000    0.05981563    0.00000000
   -0.40000000   -4.00000000    0.05875328    0.00000000
   -0.32000000   -4.00000000    0.05756225    0.00000000
   -0.24000000   -4.00000000    0.05625118    0.00000000
   -0.16000000   -4.00000000    0.05482942    0.00000000
   -0.08000000   -4.00000000    0.05330696    0.00000000
    0.00000000   -4.00000000    0.05169427    0.00000000
    0.08000000   -4.00000000    0.05000220    0.00000000
    0.16000000   -4.00000000    0.04824185    0.00000000
    0.24000000   -4.00000000    0.04642448    0.00000000
    0.32000000   -4.00000000    0.04456135    0.00000000
    0.40000000   -4.00000000    0.04266364    0.00000000
    0.48000000   -4.00000000    0.04074230    0.00000000
    0.56000000   -4.00000000    0.03880802    0.00000000
    0.64000000   -4.00000000    0.03687106    0.00000000
    0.72000000   -4.00000000    0.03494121    0.00000000
    0.80000000   -4.00000000    0.03302771    0.00000000
    0.88000000   -4.00000000    0.03113918    0.00000000
    0.96000000   -4.00000000    0.02928358    0.00000000
    1.04000000   -4.00000000    0.02746814    0.00000000
    1.12000000   -4.00000000    0.02569938    0.00000000
    1.20000000   -4.00000000    0.02398304    0.00000000
    1.28000000   -4.00000000    0.02232410    0.00000000
    1.36000000   -4.00000000    0.02072679    0.00000000
    1.44000000   -4.00000000    0.01919456    0.00000000
    1.52000000   -4.00000000    0.01773016    0.00000000
    1.60000000   -4.00000000    0.01633560    0.00000000
    1.68000000   -4.00000000    0.01501226    0.00000000
    1.76000000   -4.00000000    0.01376084    0.00000000
    1.84000000   -4.00000000    0.01258149    0.00000000
    1.92000000   -4.00000000    0.01147381    0.00000000
    2.00000000   -4.00000000    0.01043689    0.00000000
    2.08000000   -4.00000000    0.00946941    0.00000000
    2.16000000   -4.00000000    0.00856965    0.00000000
    2.24000000   -4.00000000    0.00773555    0.00000000
    2.32000000   -4.00000000    0.00696479    0.00000000
    2.40000000   -4.00000000    0.00625479    0.00000000
    2.48000000   -4.00000000    0.00560280    0.00000000
