 TITLE = "DIFFUSION 2D - FD"
 VARIABLES = "X" "Y" "C" "ERR"
  ZONE F=POINT, I=         101 , J=          101
   -4.00000000   -4.00000000    0.00028867    0.00000000
   -3.92000000   -4.00000000    0.00035615    0.00000000
   -3.84000000   -4.00000000    0.00043692    0.00000000
   -3.76000000   -4.00000000    0.00053297    0.00000000
   -3.68000000   -4.00000000    0.00064646    0.00000000
   -3.60000000   -4.00000000    0.00077968    0.00000000
   -3.52000000   -4.00000000    0.00093502    0.00000000
   -3.44000000   -4.00000000    0.00111497    0.00000000
   -3.36000000   -4.00000000    0.00132202    0.00000000
   -3.28000000   -4.00000000    0.00155865    0.00000000
   -3.20000000   -4.00000000    0.00182722    0.00000000
   -3.12000000   -4.00000000    0.00212994    0.00000000
   -3.04000000   -4.00000000    0.00246876    0.00000000
   -2.96000000   -4.00000000    0.00284528    0.00000000
   -2.88000000   -4.00000000    0.00326066    0.00000000
   -2.80000000   -4.00000000    0.00371552    0.00000000
   -2.72000000   -4.00000000    0.00420986    0.00000000
   -2.64000000   -4.00000000    0.00474297    0.00000000
   -2.56000000   -4.00000000    0.00531333    0.00000000
   -2.48000000   -4.00000000    0.00591858    0.00000000
   -2.40000000   -4.00000000    0.00655545    0.00000000
   -2.32000000   -4.00000000    0.00721974    0.00000000
   -2.24000000   -4.00000000    0.00790633    0.00000000
   -2.16000000   -4.00000000    0.00860919    0.00000000
   -2.08000000   -4.00000000    0.00932146    0.00000000
   -2.00000000   -4.00000000    0.01003552    0.00000000
   -1.92000000   -4.00000000    0.01074311    0.00000000
   -1.84000000   -4.00000000    0.01143547    0.00000000
   -1.76000000   -4.00000000    0.01210354    0.00000000
   -1.68000000   -4.00000000    0.01273811    0.00000000
   -1.60000000   -4.00000000    0.01333004    0.00000000
   -1.52000000   -4.00000000    0.01387051    0.00000000
   -1.44000000   -4.00000000    0.01435117    0.00000000
   -1.36000000   -4.00000000    0.01476442    0.00000000
   -1.28000000   -4.00000000    0.01510358    0.00000000
   -1.20000000   -4.00000000    0.01536304    0.00000000
   -1.12000000   -4.00000000    0.01553849    0.00000000
   -1.04000000   -4.00000000    0.01562697    0.00000000
   -0.96000000   -4.00000000    0.01562697    0.00000000
   -0.88000000   -4.00000000    0.01553849    0.00000000
   -0.80000000   -4.00000000    0.01536304    0.00000000
   -0.72000000   -4.00000000    0.01510358    0.00000000
   -0.64000000   -4.00000000    0.01476442    0.00000000
   -0.56000000   -4.00000000    0.01435117    0.00000000
   -0.48000000   -4.00000000    0.01387051    0.00000000
   -0.40000000   -4.00000000    0.01333004    0.00000000
   -0.32000000   -4.00000000    0.01273811    0.00000000
   -0.24000000   -4.00000000    0.01210354    0.00000000
   -0.16000000   -4.00000000    0.01143547    0.00000000
   -0.08000000   -4.00000000    0.01074311    0.00000000
    0.00000000   -4.00000000    0.01003552    0.00000000
    0.08000000   -4.00000000    0.00932146    0.00000000
    0.16000000   -4.00000000    0.00860919    0.00000000
    0.24000000   -4.00000000    0.00790633    0.00000000
    0.32000000   -4.00000000    0.00721974    0.00000000
    0.40000000   -4.00000000    0.00655545    0.00000000
    0.48000000   -4.00000000    0.00591858    0.00000000
    0.56000000   -4.00000000    0.00531333    0.00000000
    0.64000000   -4.00000000    0.00474297    0.00000000
    0.72000000   -4.00000000    0.00420986    0.00000000
    0.80000000   -4.00000000    0.00371552    0.00000000
    0.88000000   -4.00000000    0.00326066    0.00000000
    0.96000000   -4.00000000    0.00284528    0.00000000
    1.04000000   -4.00000000    0.00246876    0.00000000
    1.12000000   -4.00000000    0.00212994    0.00000000
    1.20000000   -4.00000000    0.00182722    0.00000000
    1.28000000   -4.00000000    0.00155865    0.00000000
    1.36000000   -4.00000000    0.00132202    0.00000000
    1.44000000   -4.00000000    0.00111497    0.00000000
    1.52000000   -4.00000000    0.00093502    0.00000000
    1.60000000   -4.00000000    0.00077968    0.00000000
    1.68000000   -4.00000000    0.00064646    0.00000000
    1.76000000   -4.00000000    0.00053297    0.00000000
    1.84000000   -4.00000000    0.00043692    0.00000000
    1.92000000   -4.00000000    0.00035615    0.00000000
    2.00000000   -4.00000000    0.00028867    0.00000000
    2.08000000   -4.00000000    0.00023265    0.00000000
    2.16000000   -4.00000000    0.00018643    0.00000000
    2.24000000   -4.00000000    0.00014856    0.00000000
    2.32000000   -4.00000000    0.00011770    0.00000000
    2.40000000   -4.00000000    0.00009273    0.00000000
    2.48000000   -4.00000000    0.00007264    0.00000000
    2.56000000   -4.00000000    0.00005659    0.00000000
    2.64000000   -4.00000000    0.00004383    0.00000000
    2.72000000   -4.00000000    0.00003375    0.00000000
    2.80000000   -4.00000000    0.00002585    0.00000000
    2.88000000   -4.00000000    0.00001968    0.00000000
    2.96000000   -4.00000000    0.00001490    0.00000000
    3.04000000   -4.00000000    0.00001122    0.00000000
    3.12000000   -4.00000000    0.00000840    0.00000000
    3.20000000   -4.00000000    0.00000625    0.00000000
    3.28000000   -4.00000000    0.00000463    0.00000000
    3.36000000   -4.00000000    0.00000340    0.00000000
    3.44000000   -4.00000000    0.00000249    0.00000000
    3.52000000   -4.00000000    0.00000181    0.00000000
    3.60000000   -4.00000000    0.00000131    0.00000000
    3.68000000   -4.00000000    0.00000094    0.00000000
    3.76000000   -4.00000000    0.00000068    0.00000000
    3.84000000   -4.00000000    0.00000048    0.00000000
    3.92000000   -4.00000000    0.00000034    0.00000000
    4.00000000   -4.00000000    0.00000024    0.00000000
   -4.00000000   -3.92000000    0.00035615    0.00000000
   -3.92000000   -3.92000000    0.00048799    0.00004858
   -3.84000000   -3.92000000    0.00068582    0.00014676
   -3.76000000   -3.92000000    0.00086878    0.00021121
   -3.68000000   -3.92000000    0.00106737    0.00026978
   -3.60000000   -3.92000000    0.00129370    0.00033175
   -3.52000000   -3.92000000    0.00155459    0.00040098
   -3.44000000   -3.92000000    0.00185527    0.00047965
   -3.36000000   -3.92000000    0.00220039    0.00056931
   -3.28000000   -3.92000000    0.00259428    0.00067126
   -3.20000000   -3.92000000    0.00304101    0.00078663
   -3.12000000   -3.92000000    0.00354431    0.00091644
   -3.04000000   -3.92000000    0.00410744    0.00106154
   -2.96000000   -3.92000000    0.00473310    0.00122266
   -2.88000000   -3.92000000    0.00542322    0.00140030
   -2.80000000   -3.92000000    0.00617886    0.00159475
   -2.72000000   -3.92000000    0.00700003    0.00180601
   -2.64000000   -3.92000000    0.00788554    0.00203378
   -2.56000000   -3.92000000    0.00883290    0.00227745
   -2.48000000   -3.92000000    0.00983818    0.00253599
   -2.40000000   -3.92000000    0.01089598    0.00280803
   -2.32000000   -3.92000000    0.01199932    0.00309178
   -2.24000000   -3.92000000    0.01313970    0.00338507
   -2.16000000   -3.92000000    0.01430712    0.00368532
   -2.08000000   -3.92000000    0.01549020    0.00398961
   -2.00000000   -3.92000000    0.01667626    0.00429469
   -1.92000000   -3.92000000    0.01785161    0.00459704
   -1.84000000   -3.92000000    0.01900170    0.00489291
   -1.76000000   -3.92000000    0.02011146    0.00517843
   -1.68000000   -3.92000000    0.02116560    0.00544965
   -1.60000000   -3.92000000    0.02214895    0.00570269
   -1.52000000   -3.92000000    0.02304681    0.00593374
   -1.44000000   -3.92000000    0.02384535    0.00613924
   -1.36000000   -3.92000000    0.02453190    0.00631593
   -1.28000000   -3.92000000    0.02509536    0.00646096
   -1.20000000   -3.92000000    0.02552644    0.00657191
   -1.12000000   -3.92000000    0.02581794    0.00664694
   -1.04000000   -3.92000000    0.02596493    0.00668478
   -0.96000000   -3.92000000    0.02596493    0.00668478
   -0.88000000   -3.92000000    0.02581794    0.00664694
   -0.80000000   -3.92000000    0.02552644    0.00657191
   -0.72000000   -3.92000000    0.02509536    0.00646096
   -0.64000000   -3.92000000    0.02453190    0.00631594
   -0.56000000   -3.92000000    0.02384535    0.00613924
