 TITLE = "DIFFUSION 2D - FD"
 VARIABLES = "X" "Y" "C" "ERR"
  ZONE F=POINT, I=         101 , J=          101
   -4.00000000   -4.00000000    0.00012013    0.00000000
   -3.92000000   -4.00000000    0.00015214    0.00000000
   -3.84000000   -4.00000000    0.00019145    0.00000000
   -3.76000000   -4.00000000    0.00023939    0.00000000
   -3.68000000   -4.00000000    0.00029743    0.00000000
   -3.60000000   -4.00000000    0.00036718    0.00000000
   -3.52000000   -4.00000000    0.00045042    0.00000000
   -3.44000000   -4.00000000    0.00054900    0.00000000
   -3.36000000   -4.00000000    0.00066490    0.00000000
   -3.28000000   -4.00000000    0.00080015    0.00000000
   -3.20000000   -4.00000000    0.00095677    0.00000000
   -3.12000000   -4.00000000    0.00113677    0.00000000
   -3.04000000   -4.00000000    0.00134205    0.00000000
   -2.96000000   -4.00000000    0.00157430    0.00000000
   -2.88000000   -4.00000000    0.00183500    0.00000000
   -2.80000000   -4.00000000    0.00212526    0.00000000
   -2.72000000   -4.00000000    0.00244576    0.00000000
   -2.64000000   -4.00000000    0.00279668    0.00000000
   -2.56000000   -4.00000000    0.00317761    0.00000000
   -2.48000000   -4.00000000    0.00358743    0.00000000
   -2.40000000   -4.00000000    0.00402434    0.00000000
   -2.32000000   -4.00000000    0.00448573    0.00000000
   -2.24000000   -4.00000000    0.00496819    0.00000000
   -2.16000000   -4.00000000    0.00546752    0.00000000
   -2.08000000   -4.00000000    0.00597875    0.00000000
   -2.00000000   -4.00000000    0.00649616    0.00000000
   -1.92000000   -4.00000000    0.00701344    0.00000000
   -1.84000000   -4.00000000    0.00752371    0.00000000
   -1.76000000   -4.00000000    0.00801974    0.00000000
   -1.68000000   -4.00000000    0.00849407    0.00000000
   -1.60000000   -4.00000000    0.00893920    0.00000000
   -1.52000000   -4.00000000    0.00934778    0.00000000
   -1.44000000   -4.00000000    0.00971282    0.00000000
   -1.36000000   -4.00000000    0.01002789    0.00000000
   -1.28000000   -4.00000000    0.01028728    0.00000000
   -1.20000000   -4.00000000    0.01048623    0.00000000
   -1.12000000   -4.00000000    0.01062099    0.00000000
   -1.04000000   -4.00000000    0.01068902    0.00000000
   -0.96000000   -4.00000000    0.01068902    0.00000000
   -0.88000000   -4.00000000    0.01062099    0.00000000
   -0.80000000   -4.00000000    0.01048623    0.00000000
   -0.72000000   -4.00000000    0.01028728    0.00000000
   -0.64000000   -4.00000000    0.01002789    0.00000000
   -0.56000000   -4.00000000    0.00971282    0.00000000
   -0.48000000   -4.00000000    0.00934778    0.00000000
   -0.40000000   -4.00000000    0.00893920    0.00000000
   -0.32000000   -4.00000000    0.00849407    0.00000000
   -0.24000000   -4.00000000    0.00801974    0.00000000
   -0.16000000   -4.00000000    0.00752371    0.00000000
   -0.08000000   -4.00000000    0.00701344    0.00000000
    0.00000000   -4.00000000    0.00649616    0.00000000
    0.08000000   -4.00000000    0.00597875    0.00000000
    0.16000000   -4.00000000    0.00546752    0.00000000
    0.24000000   -4.00000000    0.00496819    0.00000000
    0.32000000   -4.00000000    0.00448573    0.00000000
    0.40000000   -4.00000000    0.00402434    0.00000000
    0.48000000   -4.00000000    0.00358743    0.00000000
    0.56000000   -4.00000000    0.00317761    0.00000000
    0.64000000   -4.00000000    0.00279668    0.00000000
    0.72000000   -4.00000000    0.00244576    0.00000000
    0.80000000   -4.00000000    0.00212526    0.00000000
    0.88000000   -4.00000000    0.00183500    0.00000000
    0.96000000   -4.00000000    0.00157430    0.00000000
    1.04000000   -4.00000000    0.00134205    0.00000000
    1.12000000   -4.00000000    0.00113677    0.00000000
    1.20000000   -4.00000000    0.00095677    0.00000000
    1.28000000   -4.00000000    0.00080015    0.00000000
    1.36000000   -4.00000000    0.00066490    0.00000000
    1.44000000   -4.00000000    0.00054900    0.00000000
    1.52000000   -4.00000000    0.00045042    0.00000000
    1.60000000   -4.00000000    0.00036718    0.00000000
    1.68000000   -4.00000000    0.00029743    0.00000000
    1.76000000   -4.00000000    0.00023939    0.00000000
    1.84000000   -4.00000000    0.00019145    0.00000000
    1.92000000   -4.00000000    0.00015214    0.00000000
    2.00000000   -4.00000000    0.00012013    0.00000000
    2.08000000   -4.00000000    0.00009425    0.00000000
    2.16000000   -4.00000000    0.00007347    0.00000000
    2.24000000   -4.00000000    0.00005691    0.00000000
    2.32000000   -4.00000000    0.00004381    0.00000000
    2.40000000   -4.00000000    0.00003350    0.00000000
    2.48000000   -4.00000000    0.00002546    0.00000000
    2.56000000   -4.00000000    0.00001922    0.00000000
    2.64000000   -4.00000000    0.00001442    0.00000000
    2.72000000   -4.00000000    0.00001075    0.00000000
    2.80000000   -4.00000000    0.00000796    0.00000000
    2.88000000   -4.00000000    0.00000586    0.00000000
    2.96000000   -4.00000000    0.00000429    0.00000000
    3.04000000   -4.00000000    0.00000312    0.00000000
    3.12000000   -4.00000000    0.00000225    0.00000000
    3.20000000   -4.00000000    0.00000161    0.00000000
    3.28000000   -4.00000000    0.00000115    0.00000000
    3.36000000   -4.00000000    0.00000082    0.00000000
    3.44000000   -4.00000000    0.00000057    0.00000000
    3.52000000   -4.00000000    0.00000040    0.00000000
    3.60000000   -4.00000000    0.00000028    0.00000000
    3.68000000   -4.00000000    0.00000019    0.00000000
    3.76000000   -4.00000000    0.00000013    0.00000000
    3.84000000   -4.00000000    0.00000009    0.00000000
    3.92000000   -4.00000000    0.00000006    0.00000000
    4.00000000   -4.00000000    0.00000004    0.00000000
   -4.00000000   -3.92000000    0.00015214    0.00000000
   -3.92000000   -3.92000000    0.00021722    0.00002455
   -3.84000000   -3.92000000    0.00031703    0.00007456
   -3.76000000   -3.92000000    0.00041224    0.00010906
   -3.68000000   -3.92000000    0.00051869    0.00014201
   -3.60000000   -3.92000000    0.00064323    0.00017820
   -3.52000000   -3.92000000    0.00079032    0.00021988
   -3.44000000   -3.92000000    0.00096376    0.00026847
   -3.36000000   -3.92000000    0.00116723    0.00032515
   -3.28000000   -3.92000000    0.00140437    0.00039101
   -3.20000000   -3.92000000    0.00167879    0.00046707
   -3.12000000   -3.92000000    0.00199402    0.00055433
   -3.04000000   -3.92000000    0.00235337    0.00065371
   -2.96000000   -3.92000000    0.00275985    0.00076604
   -2.88000000   -3.92000000    0.00321601    0.00089203
   -2.80000000   -3.92000000    0.00372380    0.00103223
   -2.72000000   -3.92000000    0.00428444    0.00118696
   -2.64000000   -3.92000000    0.00489822    0.00135630
   -2.56000000   -3.92000000    0.00556441    0.00154007
   -2.48000000   -3.92000000    0.00628111    0.00173774
   -2.40000000   -3.92000000    0.00704513    0.00194843
   -2.32000000   -3.92000000    0.00785193    0.00217089
   -2.24000000   -3.92000000    0.00869556    0.00240350
   -2.16000000   -3.92000000    0.00956868    0.00264423
   -2.08000000   -3.92000000    0.01046259    0.00289069
   -2.00000000   -3.92000000    0.01136732    0.00314013
   -1.92000000   -3.92000000    0.01227181    0.00338951
   -1.84000000   -3.92000000    0.01316408    0.00363553
   -1.76000000   -3.92000000    0.01403145    0.00387469
   -1.68000000   -3.92000000    0.01486088    0.00410340
   -1.60000000   -3.92000000    0.01563926    0.00431804
   -1.52000000   -3.92000000    0.01635375    0.00451508
   -1.44000000   -3.92000000    0.01699211    0.00469112
   -1.36000000   -3.92000000    0.01754309    0.00484308
   -1.28000000   -3.92000000    0.01799672    0.00496819
