 TITLE = "DIFFUSION 2D - FD"
 VARIABLES = "X" "Y" "C" "ERR"
  ZONE F=POINT, I=         101 , J=          101
   -4.00000000   -4.00000000    0.00100499    0.00000000
   -3.92000000   -4.00000000    0.00119360    0.00000000
   -3.84000000   -4.00000000    0.00141102    0.00000000
   -3.76000000   -4.00000000    0.00166032    0.00000000
   -3.68000000   -4.00000000    0.00194461    0.00000000
   -3.60000000   -4.00000000    0.00226700    0.00000000
   -3.52000000   -4.00000000    0.00263059    0.00000000
   -3.44000000   -4.00000000    0.00303834    0.00000000
   -3.36000000   -4.00000000    0.00349302    0.00000000
   -3.28000000   -4.00000000    0.00399711    0.00000000
   -3.20000000   -4.00000000    0.00455273    0.00000000
   -3.12000000   -4.00000000    0.00516155    0.00000000
   -3.04000000   -4.00000000    0.00582464    0.00000000
   -2.96000000   -4.00000000    0.00654243    0.00000000
   -2.88000000   -4.00000000    0.00731459    0.00000000
   -2.80000000   -4.00000000    0.00813996    0.00000000
   -2.72000000   -4.00000000    0.00901646    0.00000000
   -2.64000000   -4.00000000    0.00994102    0.00000000
   -2.56000000   -4.00000000    0.01090955    0.00000000
   -2.48000000   -4.00000000    0.01191692    0.00000000
   -2.40000000   -4.00000000    0.01295694    0.00000000
   -2.32000000   -4.00000000    0.01402239    0.00000000
   -2.24000000   -4.00000000    0.01510508    0.00000000
   -2.16000000   -4.00000000    0.01619589    0.00000000
   -2.08000000   -4.00000000    0.01728495    0.00000000
   -2.00000000   -4.00000000    0.01836169    0.00000000
   -1.92000000   -4.00000000    0.01941503    0.00000000
   -1.84000000   -4.00000000    0.02043360    0.00000000
   -1.76000000   -4.00000000    0.02140587    0.00000000
   -1.68000000   -4.00000000    0.02232041    0.00000000
   -1.60000000   -4.00000000    0.02316608    0.00000000
   -1.52000000   -4.00000000    0.02393229    0.00000000
   -1.44000000   -4.00000000    0.02460917    0.00000000
   -1.36000000   -4.00000000    0.02518784    0.00000000
   -1.28000000   -4.00000000    0.02566056    0.00000000
   -1.20000000   -4.00000000    0.02602092    0.00000000
   -1.12000000   -4.00000000    0.02626396    0.00000000
   -1.04000000   -4.00000000    0.02638633    0.00000000
   -0.96000000   -4.00000000    0.02638633    0.00000000
   -0.88000000   -4.00000000    0.02626396    0.00000000
   -0.80000000   -4.00000000    0.02602092    0.00000000
   -0.72000000   -4.00000000    0.02566056    0.00000000
   -0.64000000   -4.00000000    0.02518784    0.00000000
   -0.56000000   -4.00000000    0.02460917    0.00000000
   -0.48000000   -4.00000000    0.02393229    0.00000000
   -0.40000000   -4.00000000    0.02316608    0.00000000
   -0.32000000   -4.00000000    0.02232041    0.00000000
   -0.24000000   -4.00000000    0.02140587    0.00000000
   -0.16000000   -4.00000000    0.02043360    0.00000000
   -0.08000000   -4.00000000    0.01941503    0.00000000
    0.00000000   -4.00000000    0.01836169    0.00000000
    0.08000000   -4.00000000    0.01728495    0.00000000
    0.16000000   -4.00000000    0.01619589    0.00000000
    0.24000000   -4.00000000    0.01510508    0.00000000
    0.32000000   -4.00000000    0.01402239    0.00000000
    0.40000000   -4.00000000    0.01295694    0.00000000
    0.48000000   -4.00000000    0.01191692    0.00000000
    0.56000000   -4.00000000    0.01090955    0.00000000
    0.64000000   -4.00000000    0.00994102    0.00000000
    0.72000000   -4.00000000    0.00901646    0.00000000
    0.80000000   -4.00000000    0.00813996    0.00000000
    0.88000000   -4.00000000    0.00731459    0.00000000
    0.96000000   -4.00000000    0.00654243    0.00000000
    1.04000000   -4.00000000    0.00582464    0.00000000
    1.12000000   -4.00000000    0.00516155    0.00000000
    1.20000000   -4.00000000    0.00455273    0.00000000
    1.28000000   -4.00000000    0.00399711    0.00000000
    1.36000000   -4.00000000    0.00349302    0.00000000
    1.44000000   -4.00000000    0.00303834    0.00000000
    1.52000000   -4.00000000    0.00263059    0.00000000
    1.60000000   -4.00000000    0.00226700    0.00000000
    1.68000000   -4.00000000    0.00194461    0.00000000
    1.76000000   -4.00000000    0.00166032    0.00000000
    1.84000000   -4.00000000    0.00141102    0.00000000
    1.92000000   -4.00000000    0.00119360    0.00000000
    2.00000000   -4.00000000    0.00100499    0.00000000
    2.08000000   -4.00000000    0.00084226    0.00000000
    2.16000000   -4.00000000    0.00070261    0.00000000
    2.24000000   -4.00000000    0.00058339    0.00000000
    2.32000000   -4.00000000    0.00048216    0.00000000
    2.40000000   -4.00000000    0.00039665    0.00000000
    2.48000000   -4.00000000    0.00032478    0.00000000
