 TITLE = "DIFFUSION 2D - FD"
 VARIABLES = "X" "Y" "C" "ERR"
  ZONE F=POINT, I=         101 , J=          101
   -4.00000000   -4.00000000    0.02869860    0.00000000
   -3.92000000   -4.00000000    0.03025036    0.00000000
   -3.84000000   -4.00000000    0.03184067    0.00000000
   -3.76000000   -4.00000000    0.03346693    0.00000000
   -3.68000000   -4.00000000    0.03512621    0.00000000
   -3.60000000   -4.00000000    0.03681533    0.00000000
   -3.52000000   -4.00000000    0.03853080    0.00000000
   -3.44000000   -4.00000000    0.04026885    0.00000000
   -3.36000000   -4.00000000    0.04202544    0.00000000
   -3.28000000   -4.00000000    0.04379629    0.00000000
   -3.20000000   -4.00000000    0.04557683    0.00000000
   -3.12000000   -4.00000000    0.04736232    0.00000000
   -3.04000000   -4.00000000    0.04914775    0.00000000
   -2.96000000   -4.00000000    0.05092795    0.00000000
   -2.88000000   -4.00000000    0.05269758    0.00000000
   -2.80000000   -4.00000000    0.05445114    0.00000000
   -2.72000000   -4.00000000    0.05618304    0.00000000
   -2.64000000   -4.00000000    0.05788758    0.00000000
   -2.56000000   -4.00000000    0.05955901    0.00000000
   -2.48000000   -4.00000000    0.06119155    0.00000000
   -2.40000000   -4.00000000    0.06277942    0.00000000
   -2.32000000   -4.00000000    0.06431689    0.00000000
   -2.24000000   -4.00000000    0.06579830    0.00000000
   -2.16000000   -4.00000000    0.06721810    0.00000000
   -2.08000000   -4.00000000    0.06857087    0.00000000
   -2.00000000   -4.00000000    0.06985138    0.00000000
   -1.92000000   -4.00000000    0.07105460    0.00000000
   -1.84000000   -4.00000000    0.07217576    0.00000000
   -1.76000000   -4.00000000    0.07321033    0.00000000
   -1.68000000   -4.00000000    0.07415412    0.00000000
   -1.60000000   -4.00000000    0.07500326    0.00000000
   -1.52000000   -4.00000000    0.07575422    0.00000000
   -1.44000000   -4.00000000    0.07640389    0.00000000
   -1.36000000   -4.00000000    0.07694953    0.00000000
   -1.28000000   -4.00000000    0.07738885    0.00000000
   -1.20000000   -4.00000000    0.07771998    0.00000000
