 TITLE = "DIFFUSION 2D - FD"
 VARIABLES = "X" "Y" "C" "ERR"
  ZONE F=POINT, I=         101 , J=          101
   -4.00000000   -4.00000000    0.00000815    0.00000000
   -3.92000000   -4.00000000    0.00001116    0.00000000
   -3.84000000   -4.00000000    0.00001516    0.00000000
   -3.76000000   -4.00000000    0.00002041    0.00000000
   -3.68000000   -4.00000000    0.00002725    0.00000000
   -3.60000000   -4.00000000    0.00003608    0.00000000
   -3.52000000   -4.00000000    0.00004736    0.00000000
   -3.44000000   -4.00000000    0.00006164    0.00000000
   -3.36000000   -4.00000000    0.00007955    0.00000000
   -3.28000000   -4.00000000    0.00010179    0.00000000
   -3.20000000   -4.00000000    0.00012915    0.00000000
   -3.12000000   -4.00000000    0.00016248    0.00000000
   -3.04000000   -4.00000000    0.00020267    0.00000000
   -2.96000000   -4.00000000    0.00025067    0.00000000
   -2.88000000   -4.00000000    0.00030740    0.00000000
   -2.80000000   -4.00000000    0.00037379    0.00000000
   -2.72000000   -4.00000000    0.00045067    0.00000000
   -2.64000000   -4.00000000    0.00053876    0.00000000
   -2.56000000   -4.00000000    0.00063861    0.00000000
   -2.48000000   -4.00000000    0.00075057    0.00000000
   -2.40000000   -4.00000000    0.00087468    0.00000000
   -2.32000000   -4.00000000    0.00101069    0.00000000
   -2.24000000   -4.00000000    0.00115796    0.00000000
   -2.16000000   -4.00000000    0.00131545    0.00000000
   -2.08000000   -4.00000000    0.00148172    0.00000000
   -2.00000000   -4.00000000    0.00165487    0.00000000
   -1.92000000   -4.00000000    0.00183261    0.00000000
   -1.84000000   -4.00000000    0.00201226    0.00000000
   -1.76000000   -4.00000000    0.00219082    0.00000000
   -1.68000000   -4.00000000    0.00236503    0.00000000
   -1.60000000   -4.00000000    0.00253148    0.00000000
   -1.52000000   -4.00000000    0.00268670    0.00000000
   -1.44000000   -4.00000000    0.00282730    0.00000000
   -1.36000000   -4.00000000    0.00295008    0.00000000
   -1.28000000   -4.00000000    0.00305212    0.00000000
   -1.20000000   -4.00000000    0.00313097    0.00000000
   -1.12000000   -4.00000000    0.00318466    0.00000000
   -1.04000000   -4.00000000    0.00321185    0.00000000
   -0.96000000   -4.00000000    0.00321185    0.00000000
   -0.88000000   -4.00000000    0.00318466    0.00000000
   -0.80000000   -4.00000000    0.00313097    0.00000000
   -0.72000000   -4.00000000    0.00305212    0.00000000
   -0.64000000   -4.00000000    0.00295008    0.00000000
   -0.56000000   -4.00000000    0.00282730    0.00000000
   -0.48000000   -4.00000000    0.00268670    0.00000000
   -0.40000000   -4.00000000    0.00253148    0.00000000
   -0.32000000   -4.00000000    0.00236503    0.00000000
   -0.24000000   -4.00000000    0.00219082    0.00000000
   -0.16000000   -4.00000000    0.00201226    0.00000000
   -0.08000000   -4.00000000    0.00183261    0.00000000
    0.00000000   -4.00000000    0.00165487    0.00000000
    0.08000000   -4.00000000    0.00148172    0.00000000
    0.16000000   -4.00000000    0.00131545    0.00000000
    0.24000000   -4.00000000    0.00115796    0.00000000
    0.32000000   -4.00000000    0.00101069    0.00000000
    0.40000000   -4.00000000    0.00087468    0.00000000
    0.48000000   -4.00000000    0.00075057    0.00000000
    0.56000000   -4.00000000    0.00063861    0.00000000
    0.64000000   -4.00000000    0.00053876    0.00000000
    0.72000000   -4.00000000    0.00045067    0.00000000
    0.80000000   -4.00000000    0.00037379    0.00000000
    0.88000000   -4.00000000    0.00030740    0.00000000
    0.96000000   -4.00000000    0.00025067    0.00000000
    1.04000000   -4.00000000    0.00020267    0.00000000
    1.12000000   -4.00000000    0.00016248    0.00000000
    1.20000000   -4.00000000    0.00012915    0.00000000
    1.28000000   -4.00000000    0.00010179    0.00000000
    1.36000000   -4.00000000    0.00007955    0.00000000
    1.44000000   -4.00000000    0.00006164    0.00000000
    1.52000000   -4.00000000    0.00004736    0.00000000
    1.60000000   -4.00000000    0.00003608    0.00000000
    1.68000000   -4.00000000    0.00002725    0.00000000
    1.76000000   -4.00000000    0.00002041    0.00000000
    1.84000000   -4.00000000    0.00001516    0.00000000
    1.92000000   -4.00000000    0.00001116    0.00000000
    2.00000000   -4.00000000    0.00000815    0.00000000
    2.08000000   -4.00000000    0.00000590    0.00000000
    2.16000000   -4.00000000    0.00000423    0.00000000
    2.24000000   -4.00000000    0.00000301    0.00000000
    2.32000000   -4.00000000    0.00000213    0.00000000
    2.40000000   -4.00000000    0.00000149    0.00000000
    2.48000000   -4.00000000    0.00000103    0.00000000
    2.56000000   -4.00000000    0.00000071    0.00000000
    2.64000000   -4.00000000    0.00000048    0.00000000
    2.72000000   -4.00000000    0.00000033    0.00000000
    2.80000000   -4.00000000    0.00000022    0.00000000
    2.88000000   -4.00000000    0.00000015    0.00000000
    2.96000000   -4.00000000    0.00000010    0.00000000
    3.04000000   -4.00000000    0.00000006    0.00000000
    3.12000000   -4.00000000    0.00000004    0.00000000
    3.20000000   -4.00000000    0.00000003    0.00000000
    3.28000000   -4.00000000    0.00000002    0.00000000
    3.36000000   -4.00000000    0.00000001    0.00000000
    3.44000000   -4.00000000    0.00000001    0.00000000
    3.52000000   -4.00000000    0.00000000    0.00000000
    3.60000000   -4.00000000    0.00000000    0.00000000
    3.68000000   -4.00000000    0.00000000    0.00000000
    3.76000000   -4.00000000    0.00000000    0.00000000
    3.84000000   -4.00000000    0.00000000    0.00000000
    3.92000000   -4.00000000    0.00000000    0.00000000
    4.00000000   -4.00000000    0.00000000    0.00000000
   -4.00000000   -3.92000000    0.00001116    0.00000000
   -3.92000000   -3.92000000    0.00001807    0.00000279
   -3.84000000   -3.92000000    0.00002937    0.00000861
   -3.76000000   -3.92000000    0.00004119    0.00001323
   -3.68000000   -3.92000000    0.00005560    0.00001827
   -3.60000000   -3.92000000    0.00007381    0.00002439
   -3.52000000   -3.92000000    0.00009691    0.00003204
   -3.44000000   -3.92000000    0.00012605    0.00004162
   -3.36000000   -3.92000000    0.00016253    0.00005357
   -3.28000000   -3.92000000    0.00020778    0.00006835
   -3.20000000   -3.92000000    0.00026338    0.00008648
   -3.12000000   -3.92000000    0.00033105    0.00010851
   -3.04000000   -3.92000000    0.00041261    0.00013502
   -2.96000000   -3.92000000    0.00050995    0.00016662
   -2.88000000   -3.92000000    0.00062496    0.00020392
   -2.80000000   -3.92000000    0.00075946    0.00024750
   -2.72000000   -3.92000000    0.00091516    0.00029789
   -2.64000000   -3.92000000    0.00109349    0.00035558
   -2.56000000   -3.92000000    0.00129558    0.00042090
   -2.48000000   -3.92000000    0.00152210    0.00049408
   -2.40000000   -3.92000000    0.00177315    0.00057514
   -2.32000000   -3.92000000    0.00204821    0.00066392
   -2.24000000   -3.92000000    0.00234599    0.00075999
   -2.16000000   -3.92000000    0.00266440    0.00086269
   -2.08000000   -3.92000000    0.00300050    0.00097106
   -2.00000000   -3.92000000    0.00335049    0.00108388
   -1.92000000   -3.92000000    0.00370971    0.00119966
   -1.84000000   -3.92000000    0.00407277    0.00131666
   -1.76000000   -3.92000000    0.00443359    0.00143293
   -1.68000000   -3.92000000    0.00478562    0.00154634
   -1.60000000   -3.92000000    0.00512195    0.00165470
   -1.52000000   -3.92000000    0.00543558    0.00175573
   -1.44000000   -3.92000000    0.00571967    0.00184724
   -1.36000000   -3.92000000    0.00596774    0.00192715
   -1.28000000   -3.92000000    0.00617392    0.00199356
