 TITLE = "DIFFUSION 2D - FD"
 VARIABLES = "X" "Y" "C" "ERR"
  ZONE F=POINT, I=         101 , J=          101
   -4.00000000   -4.00000000    0.01183140    0.00000000
   -3.92000000   -4.00000000    0.01294699    0.00000000
   -3.84000000   -4.00000000    0.01413332    0.00000000
   -3.76000000   -4.00000000    0.01539081    0.00000000
   -3.68000000   -4.00000000    0.01671943    0.00000000
   -3.60000000   -4.00000000    0.01811856    0.00000000
   -3.52000000   -4.00000000    0.01958701    0.00000000
   -3.44000000   -4.00000000    0.02112297    0.00000000
   -3.36000000   -4.00000000    0.02272398    0.00000000
   -3.28000000   -4.00000000    0.02438687    0.00000000
   -3.20000000   -4.00000000    0.02610778    0.00000000
   -3.12000000   -4.00000000    0.02788216    0.00000000
   -3.04000000   -4.00000000    0.02970469    0.00000000
   -2.96000000   -4.00000000    0.03156938    0.00000000
   -2.88000000   -4.00000000    0.03346952    0.00000000
   -2.80000000   -4.00000000    0.03539772    0.00000000
   -2.72000000   -4.00000000    0.03734594    0.00000000
   -2.64000000   -4.00000000    0.03930556    0.00000000
   -2.56000000   -4.00000000    0.04126737    0.00000000
   -2.48000000   -4.00000000    0.04322172    0.00000000
   -2.40000000   -4.00000000    0.04515851    0.00000000
   -2.32000000   -4.00000000    0.04706732    0.00000000
   -2.24000000   -4.00000000    0.04893750    0.00000000
   -2.16000000   -4.00000000    0.05075822    0.00000000
   -2.08000000   -4.00000000    0.05251863    0.00000000
   -2.00000000   -4.00000000    0.05420792    0.00000000
   -1.92000000   -4.00000000    0.05581546    0.00000000
   -1.84000000   -4.00000000    0.05733087    0.00000000
   -1.76000000   -4.00000000    0.05874420    0.00000000
   -1.68000000   -4.00000000    0.06004595    0.00000000
   -1.60000000   -4.00000000    0.06122727    0.00000000
   -1.52000000   -4.00000000    0.06227997    0.00000000
   -1.44000000   -4.00000000    0.06319668    0.00000000
   -1.36000000   -4.00000000    0.06397090    0.00000000
   -1.28000000   -4.00000000    0.06459710    0.00000000
   -1.20000000   -4.00000000    0.06507077    0.00000000
   -1.12000000   -4.00000000    0.06538848    0.00000000
   -1.04000000   -4.00000000    0.06554791    0.00000000
   -0.96000000   -4.00000000    0.06554791    0.00000000
   -0.88000000   -4.00000000    0.06538848    0.00000000
   -0.80000000   -4.00000000    0.06507077    0.00000000
   -0.72000000   -4.00000000    0.06459710    0.00000000
   -0.64000000   -4.00000000    0.06397090    0.00000000
   -0.56000000   -4.00000000    0.06319668    0.00000000
   -0.48000000   -4.00000000    0.06227997    0.00000000
   -0.40000000   -4.00000000    0.06122727    0.00000000
   -0.32000000   -4.00000000    0.06004595    0.00000000
   -0.24000000   -4.00000000    0.05874420    0.00000000
   -0.16000000   -4.00000000    0.05733087    0.00000000
   -0.08000000   -4.00000000    0.05581546    0.00000000
    0.00000000   -4.00000000    0.05420792    0.00000000
    0.08000000   -4.00000000    0.05251863    0.00000000
    0.16000000   -4.00000000    0.05075822    0.00000000
    0.24000000   -4.00000000    0.04893750    0.00000000
    0.32000000   -4.00000000    0.04706732    0.00000000
    0.40000000   -4.00000000    0.04515851    0.00000000
    0.48000000   -4.00000000    0.04322172    0.00000000
    0.56000000   -4.00000000    0.04126737    0.00000000
    0.64000000   -4.00000000    0.03930556    0.00000000
    0.72000000   -4.00000000    0.03734594    0.00000000
    0.80000000   -4.00000000    0.03539772    0.00000000
    0.88000000   -4.00000000    0.03346952    0.00000000
    0.96000000   -4.00000000    0.03156938    0.00000000
    1.04000000   -4.00000000    0.02970469    0.00000000
    1.12000000   -4.00000000    0.02788216    0.00000000
    1.20000000   -4.00000000    0.02610778    0.00000000
    1.28000000   -4.00000000    0.02438687    0.00000000
    1.36000000   -4.00000000    0.02272398    0.00000000
    1.44000000   -4.00000000    0.02112297    0.00000000
    1.52000000   -4.00000000    0.01958701    0.00000000
    1.60000000   -4.00000000    0.01811856    0.00000000
    1.68000000   -4.00000000    0.01671943    0.00000000
    1.76000000   -4.00000000    0.01539081    0.00000000
    1.84000000   -4.00000000    0.01413332    0.00000000
    1.92000000   -4.00000000    0.01294699    0.00000000
    2.00000000   -4.00000000    0.01183140    0.00000000
    2.08000000   -4.00000000    0.01078564    0.00000000
    2.16000000   -4.00000000    0.00980839    0.00000000
    2.24000000   -4.00000000    0.00889799    0.00000000
    2.32000000   -4.00000000    0.00805246    0.00000000
    2.40000000   -4.00000000    0.00726955    0.00000000
    2.48000000   -4.00000000    0.00654680    0.00000000
    2.56000000   -4.00000000    0.00588156    0.00000000
    2.64000000   -4.00000000    0.00527107    0.00000000
    2.72000000   -4.00000000    0.00471246    0.00000000
    2.80000000   -4.00000000    0.00420279    0.00000000
    2.88000000   -4.00000000    0.00373914    0.00000000
    2.96000000   -4.00000000    0.00331854    0.00000000
    3.04000000   -4.00000000    0.00293809    0.00000000
    3.12000000   -4.00000000    0.00259493    0.00000000
    3.20000000   -4.00000000    0.00228627    0.00000000
    3.28000000   -4.00000000    0.00200943    0.00000000
    3.36000000   -4.00000000    0.00176181    0.00000000
    3.44000000   -4.00000000    0.00154095    0.00000000
    3.52000000   -4.00000000    0.00134450    0.00000000
    3.60000000   -4.00000000    0.00117024    0.00000000
    3.68000000   -4.00000000    0.00101609    0.00000000
    3.76000000   -4.00000000    0.00088010    0.00000000
