 TITLE = "DIFFUSION 2D - FD"
 VARIABLES = "X" "Y" "C" "ERR"
  ZONE F=POINT, I=         101 , J=          101
   -4.00000000   -4.00000000    0.01844586    0.00000000
   -3.92000000   -4.00000000    0.01983914    0.00000000
   -3.84000000   -4.00000000    0.02129570    0.00000000
   -3.76000000   -4.00000000    0.02281426    0.00000000
   -3.68000000   -4.00000000    0.02439306    0.00000000
   -3.60000000   -4.00000000    0.02602983    0.00000000
   -3.52000000   -4.00000000    0.02772182    0.00000000
   -3.44000000   -4.00000000    0.02946575    0.00000000
   -3.36000000   -4.00000000    0.03125780    0.00000000
   -3.28000000   -4.00000000    0.03309366    0.00000000
   -3.20000000   -4.00000000    0.03496845    0.00000000
   -3.12000000   -4.00000000    0.03687680    0.00000000
   -3.04000000   -4.00000000    0.03881285    0.00000000
   -2.96000000   -4.00000000    0.04077021    0.00000000
   -2.88000000   -4.00000000    0.04274209    0.00000000
   -2.80000000   -4.00000000    0.04472125    0.00000000
   -2.72000000   -4.00000000    0.04670004    0.00000000
   -2.64000000   -4.00000000    0.04867052    0.00000000
   -2.56000000   -4.00000000    0.05062441    0.00000000
   -2.48000000   -4.00000000    0.05255322    0.00000000
   -2.40000000   -4.00000000    0.05444825    0.00000000
   -2.32000000   -4.00000000    0.05630070    0.00000000
   -2.24000000   -4.00000000    0.05810172    0.00000000
   -2.16000000   -4.00000000    0.05984247    0.00000000
   -2.08000000   -4.00000000    0.06151419    0.00000000
   -2.00000000   -4.00000000    0.06310829    0.00000000
   -1.92000000   -4.00000000    0.06461641    0.00000000
   -1.84000000   -4.00000000    0.06603049    0.00000000
   -1.76000000   -4.00000000    0.06734285    0.00000000
   -1.68000000   -4.00000000    0.06854627    0.00000000
   -1.60000000   -4.00000000    0.06963401    0.00000000
   -1.52000000   -4.00000000    0.07059994    0.00000000
   -1.44000000   -4.00000000    0.07143853    0.00000000
   -1.36000000   -4.00000000    0.07214496    0.00000000
   -1.28000000   -4.00000000    0.07271513    0.00000000
   -1.20000000   -4.00000000    0.07314572    0.00000000
   -1.12000000   -4.00000000    0.07343419    0.00000000
   -1.04000000   -4.00000000    0.07357885    0.00000000
