 TITLE = "DIFFUSION 2D - FD"
 VARIABLES = "X" "Y" "C" "ERR"
  ZONE F=POINT, I=         101 , J=          101
   -4.00000000   -4.00000000    0.00158645    0.00000000
   -3.92000000   -4.00000000    0.00185744    0.00000000
   -3.84000000   -4.00000000    0.00216546    0.00000000
   -3.76000000   -4.00000000    0.00251383    0.00000000
   -3.68000000   -4.00000000    0.00290583    0.00000000
   -3.60000000   -4.00000000    0.00334468    0.00000000
   -3.52000000   -4.00000000    0.00383342    0.00000000
   -3.44000000   -4.00000000    0.00437490    0.00000000
   -3.36000000   -4.00000000    0.00497163    0.00000000
   -3.28000000   -4.00000000    0.00562572    0.00000000
   -3.20000000   -4.00000000    0.00633880    0.00000000
   -3.12000000   -4.00000000    0.00711188    0.00000000
   -3.04000000   -4.00000000    0.00794530    0.00000000
   -2.96000000   -4.00000000    0.00883865    0.00000000
   -2.88000000   -4.00000000    0.00979062    0.00000000
   -2.80000000   -4.00000000    0.01079900    0.00000000
   -2.72000000   -4.00000000    0.01186058    0.00000000
   -2.64000000   -4.00000000    0.01297112    0.00000000
   -2.56000000   -4.00000000    0.01412530    0.00000000
   -2.48000000   -4.00000000    0.01531676    0.00000000
   -2.40000000   -4.00000000    0.01653808    0.00000000
   -2.32000000   -4.00000000    0.01778085    0.00000000
   -2.24000000   -4.00000000    0.01903569    0.00000000
   -2.16000000   -4.00000000    0.02029242    0.00000000
   -2.08000000   -4.00000000    0.02154012    0.00000000
   -2.00000000   -4.00000000    0.02276729    0.00000000
   -1.92000000   -4.00000000    0.02396203    0.00000000
   -1.84000000   -4.00000000    0.02511220    0.00000000
   -1.76000000   -4.00000000    0.02620565    0.00000000
   -1.68000000   -4.00000000    0.02723040    0.00000000
   -1.60000000   -4.00000000    0.02817488    0.00000000
   -1.52000000   -4.00000000    0.02902814    0.00000000
   -1.44000000   -4.00000000    0.02978004    0.00000000
   -1.36000000   -4.00000000    0.03042148    0.00000000
   -1.28000000   -4.00000000    0.03094457    0.00000000
   -1.20000000   -4.00000000    0.03134278    0.00000000
   -1.12000000   -4.00000000    0.03161110    0.00000000
   -1.04000000   -4.00000000    0.03174611    0.00000000
   -0.96000000   -4.00000000    0.03174611    0.00000000
   -0.88000000   -4.00000000    0.03161110    0.00000000
   -0.80000000   -4.00000000    0.03134278    0.00000000
   -0.72000000   -4.00000000    0.03094457    0.00000000
   -0.64000000   -4.00000000    0.03042148    0.00000000
   -0.56000000   -4.00000000    0.02978004    0.00000000
   -0.48000000   -4.00000000    0.02902814    0.00000000
   -0.40000000   -4.00000000    0.02817488    0.00000000
   -0.32000000   -4.00000000    0.02723040    0.00000000
   -0.24000000   -4.00000000    0.02620565    0.00000000
   -0.16000000   -4.00000000    0.02511220    0.00000000
   -0.08000000   -4.00000000    0.02396203    0.00000000
    0.00000000   -4.00000000    0.02276729    0.00000000
    0.08000000   -4.00000000    0.02154012    0.00000000
    0.16000000   -4.00000000    0.02029242    0.00000000
    0.24000000   -4.00000000    0.01903569    0.00000000
    0.32000000   -4.00000000    0.01778085    0.00000000
    0.40000000   -4.00000000    0.01653808    0.00000000
    0.48000000   -4.00000000    0.01531676    0.00000000
    0.56000000   -4.00000000    0.01412530    0.00000000
    0.64000000   -4.00000000    0.01297112    0.00000000
    0.72000000   -4.00000000    0.01186058    0.00000000
    0.80000000   -4.00000000    0.01079900    0.00000000
    0.88000000   -4.00000000    0.00979062    0.00000000
    0.96000000   -4.00000000    0.00883865    0.00000000
    1.04000000   -4.00000000    0.00794530    0.00000000
    1.12000000   -4.00000000    0.00711188    0.00000000
    1.20000000   -4.00000000    0.00633880    0.00000000
    1.28000000   -4.00000000    0.00562572    0.00000000
    1.36000000   -4.00000000    0.00497163    0.00000000
    1.44000000   -4.00000000    0.00437490    0.00000000
    1.52000000   -4.00000000    0.00383342    0.00000000
    1.60000000   -4.00000000    0.00334468    0.00000000
    1.68000000   -4.00000000    0.00290583    0.00000000
    1.76000000   -4.00000000    0.00251383    0.00000000
    1.84000000   -4.00000000    0.00216546    0.00000000
    1.92000000   -4.00000000    0.00185744    0.00000000
    2.00000000   -4.00000000    0.00158645    0.00000000
    2.08000000   -4.00000000    0.00134924    0.00000000
    2.16000000   -4.00000000    0.00114261    0.00000000
    2.24000000   -4.00000000    0.00096351    0.00000000
    2.32000000   -4.00000000    0.00080903    0.00000000
    2.40000000   -4.00000000    0.00067643    0.00000000
    2.48000000   -4.00000000    0.00056316    0.00000000
    2.56000000   -4.00000000    0.00046686    0.00000000
    2.64000000   -4.00000000    0.00038538    0.00000000
    2.72000000   -4.00000000    0.00031677    0.00000000
    2.80000000   -4.00000000    0.00025927    0.00000000
    2.88000000   -4.00000000    0.00021130    0.00000000
    2.96000000   -4.00000000    0.00017147    0.00000000
    3.04000000   -4.00000000    0.00013856    0.00000000
    3.12000000   -4.00000000    0.00011149    0.00000000
    3.20000000   -4.00000000    0.00008933    0.00000000
    3.28000000   -4.00000000    0.00007127    0.00000000
    3.36000000   -4.00000000    0.00005662    0.00000000
    3.44000000   -4.00000000    0.00004478    0.00000000
    3.52000000   -4.00000000    0.00003528    0.00000000
    3.60000000   -4.00000000    0.00002767    0.00000000
    3.68000000   -4.00000000    0.00002161    0.00000000
    3.76000000   -4.00000000    0.00001680    0.00000000
    3.84000000   -4.00000000    0.00001301    0.00000000
    3.92000000   -4.00000000    0.00001003    0.00000000
    4.00000000   -4.00000000    0.00000770    0.00000000
