 TITLE = "DIFFUSION 2D - FD"
 VARIABLES = "X" "Y" "C" "ERR"
  ZONE F=POINT, I=         101 , J=          101
   -4.00000000   -4.00000000    0.02416373    0.00000000
   -3.92000000   -4.00000000    0.02568601    0.00000000
   -3.84000000   -4.00000000    0.02725915    0.00000000
   -3.76000000   -4.00000000    0.02888091    0.00000000
   -3.68000000   -4.00000000    0.03054867    0.00000000
   -3.60000000   -4.00000000    0.03225943    0.00000000
   -3.52000000   -4.00000000    0.03400978    0.00000000
   -3.44000000   -4.00000000    0.03579596    0.00000000
   -3.36000000   -4.00000000    0.03761379    0.00000000
   -3.28000000   -4.00000000    0.03945872    0.00000000
   -3.20000000   -4.00000000    0.04132585    0.00000000
   -3.12000000   -4.00000000    0.04320993    0.00000000
   -3.04000000   -4.00000000    0.04510536    0.00000000
   -2.96000000   -4.00000000    0.04700626    0.00000000
   -2.88000000   -4.00000000    0.04890645    0.00000000
   -2.80000000   -4.00000000    0.05079951    0.00000000
   -2.72000000   -4.00000000    0.05267878    0.00000000
   -2.64000000   -4.00000000    0.05453745    0.00000000
   -2.56000000   -4.00000000    0.05636855    0.00000000
   -2.48000000   -4.00000000    0.05816501    0.00000000
   -2.40000000   -4.00000000    0.05991970    0.00000000
   -2.32000000   -4.00000000    0.06162548    0.00000000
   -2.24000000   -4.00000000    0.06327526    0.00000000
   -2.16000000   -4.00000000    0.06486202    0.00000000
   -2.08000000   -4.00000000    0.06637888    0.00000000
   -2.00000000   -4.00000000    0.06781913    0.00000000
   -1.92000000   -4.00000000    0.06917632    0.00000000
   -1.84000000   -4.00000000    0.07044425    0.00000000
   -1.76000000   -4.00000000    0.07161707    0.00000000
   -1.68000000   -4.00000000    0.07268930    0.00000000
   -1.60000000   -4.00000000    0.07365586    0.00000000
   -1.52000000   -4.00000000    0.07451213    0.00000000
   -1.44000000   -4.00000000    0.07525400    0.00000000
   -1.36000000   -4.00000000    0.07587787    0.00000000
   -1.28000000   -4.00000000    0.07638068    0.00000000
   -1.20000000   -4.00000000    0.07675997    0.00000000
   -1.12000000   -4.00000000    0.07701388    0.00000000
   -1.04000000   -4.00000000    0.07714115    0.00000000
   -0.96000000   -4.00000000    0.07714115    0.00000000
   -0.88000000   -4.00000000    0.07701388    0.00000000
   -0.80000000   -4.00000000    0.07675997    0.00000000
   -0.72000000   -4.00000000    0.07638068    0.00000000
   -0.64000000   -4.00000000    0.07587787    0.00000000
   -0.56000000   -4.00000000    0.07525400    0.00000000
   -0.48000000   -4.00000000    0.07451213    0.00000000
   -0.40000000   -4.00000000    0.07365586    0.00000000
   -0.32000000   -4.00000000    0.07268930    0.00000000
   -0.24000000   -4.00000000    0.07161707    0.00000000
   -0.16000000   -4.00000000    0.07044425    0.00000000
   -0.08000000   -4.00000000    0.06917632    0.00000000
    0.00000000   -4.00000000    0.06781913    0.00000000
    0.08000000   -4.00000000    0.06637888    0.00000000
    0.16000000   -4.00000000    0.06486202    0.00000000
    0.24000000   -4.00000000    0.06327526    0.00000000
    0.32000000   -4.00000000    0.06162548    0.00000000
    0.40000000   -4.00000000    0.05991970    0.00000000
    0.48000000   -4.00000000    0.05816501    0.00000000
    0.56000000   -4.00000000    0.05636855    0.00000000
    0.64000000   -4.00000000    0.05453745    0.00000000
    0.72000000   -4.00000000    0.05267878    0.00000000
    0.80000000   -4.00000000    0.05079951    0.00000000
    0.88000000   -4.00000000    0.04890645    0.00000000
    0.96000000   -4.00000000    0.04700626    0.00000000
    1.04000000   -4.00000000    0.04510536    0.00000000
    1.12000000   -4.00000000    0.04320993    0.00000000
    1.20000000   -4.00000000    0.04132585    0.00000000
    1.28000000   -4.00000000    0.03945872    0.00000000
    1.36000000   -4.00000000    0.03761379    0.00000000
    1.44000000   -4.00000000    0.03579596    0.00000000
    1.52000000   -4.00000000    0.03400978    0.00000000
    1.60000000   -4.00000000    0.03225943    0.00000000
    1.68000000   -4.00000000    0.03054867    0.00000000
    1.76000000   -4.00000000    0.02888091    0.00000000
    1.84000000   -4.00000000    0.02725915    0.00000000
    1.92000000   -4.00000000    0.02568601    0.00000000
    2.00000000   -4.00000000    0.02416373    0.00000000
    2.08000000   -4.00000000    0.02269416    0.00000000
    2.16000000   -4.00000000    0.02127880    0.00000000
    2.24000000   -4.00000000    0.01991879    0.00000000
    2.32000000   -4.00000000    0.01861495    0.00000000
    2.40000000   -4.00000000    0.01736775    0.00000000
    2.48000000   -4.00000000    0.01617738    0.00000000
    2.56000000   -4.00000000    0.01504374    0.00000000
    2.64000000   -4.00000000    0.01396646    0.00000000
    2.72000000   -4.00000000    0.01294493    0.00000000
    2.80000000   -4.00000000    0.01197832    0.00000000
    2.88000000   -4.00000000    0.01106560    0.00000000
    2.96000000   -4.00000000    0.01020556    0.00000000
    3.04000000   -4.00000000    0.00939684    0.00000000
    3.12000000   -4.00000000    0.00863793    0.00000000
    3.20000000   -4.00000000    0.00792721    0.00000000
    3.28000000   -4.00000000    0.00726297    0.00000000
    3.36000000   -4.00000000    0.00664340    0.00000000
    3.44000000   -4.00000000    0.00606667    0.00000000
    3.52000000   -4.00000000    0.00553086    0.00000000
    3.60000000   -4.00000000    0.00503405    0.00000000
    3.68000000   -4.00000000    0.00457431    0.00000000
    3.76000000   -4.00000000    0.00414970    0.00000000
    3.84000000   -4.00000000    0.00375829    0.00000000
    3.92000000   -4.00000000    0.00339819    0.00000000
    4.00000000   -4.00000000    0.00306752    0.00000000
   -4.00000000   -3.92000000    0.02568601    0.00000000
   -3.92000000   -3.92000000    0.02805060    0.00074641
   -3.84000000   -3.92000000    0.03118182    0.00220538
   -3.76000000   -3.92000000    0.03360097    0.00290060
   -3.68000000   -3.92000000    0.03581164    0.00333844
   -3.60000000   -3.92000000    0.03796861    0.00367688
   -3.52000000   -3.92000000    0.04012403    0.00397167
   -3.44000000   -3.92000000    0.04229630    0.00424524
   -3.36000000   -3.92000000    0.04449108    0.00450767
   -3.28000000   -3.92000000    0.04670845    0.00476388
   -3.20000000   -3.92000000    0.04894570    0.00501637
   -3.12000000   -3.92000000    0.05119849    0.00526639
   -3.04000000   -3.92000000    0.05346141    0.00551446
   -2.96000000   -3.92000000    0.05572829    0.00576070
   -2.88000000   -3.92000000    0.05799240    0.00600490
   -2.80000000   -3.92000000    0.06024652    0.00624671
   -2.72000000   -3.92000000    0.06248308    0.00648560
   -2.64000000   -3.92000000    0.06469422    0.00672098
   -2.56000000   -3.92000000    0.06687185    0.00695215
   -2.48000000   -3.92000000    0.06900771    0.00717838
   -2.40000000   -3.92000000    0.07109347    0.00739891
   -2.32000000   -3.92000000    0.07312074    0.00761293
   -2.24000000   -3.92000000    0.07508117    0.00781965
   -2.16000000   -3.92000000    0.07696649    0.00801824
   -2.08000000   -3.92000000    0.07876857    0.00820791
   -2.00000000   -3.92000000    0.08047951    0.00838786
   -1.92000000   -3.92000000    0.08209167    0.00855733
   -1.84000000   -3.92000000    0.08359772    0.00871557
   -1.76000000   -3.92000000    0.08499074    0.00886188
   -1.68000000   -3.92000000    0.08626423    0.00899560
   -1.60000000   -3.92000000    0.08741219    0.00911611
   -1.52000000   -3.92000000    0.08842916    0.00922286
   -1.44000000   -3.92000000    0.08931025    0.00931534
   -1.36000000   -3.92000000    0.09005119    0.00939312
   -1.28000000   -3.92000000    0.09064839    0.00945582
   -1.20000000   -3.92000000    0.09109891    0.00950315
   -1.12000000   -3.92000000    0.09140055    0.00953489
   -1.04000000   -3.92000000    0.09155182    0.00955087
   -0.96000000   -3.92000000    0.09155198    0.00955104
   -0.88000000   -3.92000000    0.09140104    0.00953538
   -0.80000000   -3.92000000    0.09109975    0.00950399
   -0.72000000   -3.92000000    0.09064959    0.00945703
   -0.64000000   -3.92000000    0.09005279    0.00939472
   -0.56000000   -3.92000000    0.08931229    0.00931738
   -0.48000000   -3.92000000    0.08843169    0.00922539
   -0.40000000   -3.92000000    0.08741527    0.00911919
   -0.32000000   -3.92000000    0.08626794    0.00899931
   -0.24000000   -3.92000000    0.08499518    0.00886632
   -0.16000000   -3.92000000    0.08360300    0.00872086
   -0.08000000   -3.92000000    0.08209793    0.00856359
    0.00000000   -3.92000000    0.08048692    0.00839527
    0.08000000   -3.92000000    0.07877730    0.00821664
    0.16000000   -3.92000000    0.07697678    0.00802853
    0.24000000   -3.92000000    0.07509328    0.00783176
    0.32000000   -3.92000000    0.07313500    0.00762719
    0.40000000   -3.92000000    0.07111025    0.00741569
    0.48000000   -3.92000000    0.06902748    0.00719815
    0.56000000   -3.92000000    0.06689514    0.00697544
    0.64000000   -3.92000000    0.06472171    0.00674847
    0.72000000   -3.92000000    0.06251557    0.00651810
    0.80000000   -3.92000000    0.06028501    0.00628520
    0.88000000   -3.92000000    0.05803811    0.00605061
    0.96000000   -3.92000000    0.05578276    0.00581517
    1.04000000   -3.92000000    0.05352660    0.00557966
    1.12000000   -3.92000000    0.05127696    0.00534486
    1.20000000   -3.92000000    0.04904081    0.00511148
    1.28000000   -3.92000000    0.04682480    0.00488024
    1.36000000   -3.92000000    0.04463517    0.00465176
    1.44000000   -3.92000000    0.04247773    0.00442667
    1.52000000   -3.92000000    0.04035787    0.00420551
    1.60000000   -3.92000000    0.03828054    0.00398881
    1.68000000   -3.92000000    0.03625023    0.00377704
    1.76000000   -3.92000000    0.03427096    0.00357060
    1.84000000   -3.92000000    0.03234630    0.00336986
    1.92000000   -3.92000000    0.03047935    0.00317516
    2.00000000   -3.92000000    0.02867276    0.00298675
    2.08000000   -3.92000000    0.02692872    0.00280486
    2.16000000   -3.92000000    0.02524902    0.00262968
    2.24000000   -3.92000000    0.02363499    0.00246134
    2.32000000   -3.92000000    0.02208759    0.00229992
    2.40000000   -3.92000000    0.02060738    0.00214548
    2.48000000   -3.92000000    0.01919457    0.00199804
    2.56000000   -3.92000000    0.01784903    0.00185756
    2.64000000   -3.92000000    0.01657030    0.00172398
    2.72000000   -3.92000000    0.01535765    0.00159721
    2.80000000   -3.92000000    0.01421005    0.00147711
    2.88000000   -3.92000000    0.01312626    0.00136354
    2.96000000   -3.92000000    0.01210480    0.00125630
    3.04000000   -3.92000000    0.01114399    0.00115516
    3.12000000   -3.92000000    0.01024197    0.00105986
    3.20000000   -3.92000000    0.00939670    0.00097009
    3.28000000   -3.92000000    0.00860599    0.00088547
    3.36000000   -3.92000000    0.00786747    0.00080554
    3.44000000   -3.92000000    0.00717851    0.00072965
    3.52000000   -3.92000000    0.00653616    0.00065687
    3.60000000   -3.92000000    0.00593675    0.00058556
    3.68000000   -3.92000000    0.00537500    0.00051251
    3.76000000   -3.92000000    0.00484129    0.00043017
    3.84000000   -3.92000000    0.00431268    0.00031762
    3.92000000   -3.92000000    0.00372070    0.00010842
    4.00000000   -3.92000000    0.00326077    0.00000000
   -4.00000000   -3.84000000    0.02725915    0.00000000
   -3.92000000   -3.84000000    0.02975708    0.00078064
   -3.84000000   -3.84000000    0.03243472    0.00168361
   -3.76000000   -3.84000000    0.03494011    0.00235949
   -3.68000000   -3.84000000    0.03732542    0.00286340
   -3.60000000   -3.84000000    0.03965672    0.00326479
   -3.52000000   -3.84000000    0.04197363    0.00360713
   -3.44000000   -3.84000000    0.04429620    0.00391471
   -3.36000000   -3.84000000    0.04663323    0.00420104
   -3.28000000   -3.84000000    0.04898728    0.00447381
   -3.20000000   -3.84000000    0.05135729    0.00473751
   -3.12000000   -3.84000000    0.05373996    0.00499475
   -3.04000000   -3.84000000    0.05613050    0.00524704
   -2.96000000   -3.84000000    0.05852305    0.00549519
   -2.88000000   -3.84000000    0.06091101    0.00573954
   -2.80000000   -3.84000000    0.06328713    0.00598010
   -2.72000000   -3.84000000    0.06564372    0.00621668
   -2.64000000   -3.84000000    0.06797272    0.00644891
   -2.56000000   -3.84000000    0.07026579    0.00667631
   -2.48000000   -3.84000000    0.07251437    0.00689830
   -2.40000000   -3.84000000    0.07470979    0.00711426
